step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
1,0.000502713,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
2,0.000603254,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
3,0.000703793,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
4,0.000804332,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
5,0.000904871,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
6,0.00100541,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
7,0.00110595,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
8,0.00120649,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
9,0.00130703,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
10,0.00140757,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
11,0.00150811,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
12,0.00160865,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
13,0.00170919,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
14,0.00180973,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
15,0.00191027,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
16,0.00201081,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
17,0.00211135,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
18,0.00221189,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
19,0.00231243,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
20,0.00241298,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
21,0.00251352,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
22,0.00261406,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
23,0.0027146,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
24,0.00281514,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
25,0.00291568,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
26,0.00301622,0.0108152,63,344,1.18957,0.732439,1.18957,0.732439,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
