case,label,frame,time,particle_count,center_count,velocity_max,divvel_maxabs,divvel_center_mean,porepress_min,porepress_max,porepress_mean,porepress_center_mean,excess_center_mean,porepressrate_maxabs,porepressrate_center_mean,negative_pressure_count,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_proxy_mean,q_proxy_mean,q_proxy_max
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,-50.0,0.0,0.0
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,1,0.000503,407,45,0.000968458111408096,0.030540999,0.021668603200000004,-10235.56260894,-4059.836936988,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,-31.43442368632269,5.4967249700762615,8.950574546177
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,2,0.000804,407,45,0.0011829164642828513,0.069465704,0.05293514762222222,-23663.94973957,-9845.533781186,-17487.8928552721,-17268.15205063489,-17268.15205063489,46270880.0,-35295376.0,407,0.0,-3.5631371791646194,-3.56313737012285,-11.714515892383295,-6.28026348055692,12.730946007347816,20.55594352896874
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,3,0.001005,407,45,0.001179737603175782,0.065070771,0.053544080022222225,-32524.75925827,-14330.61265292,-24475.841924715824,-24480.69533292356,-24480.69533292356,43322420.0,-35702723.68888889,407,0.0,14.996811629484029,14.996811371498774,3.5752100513513514,11.189611017444717,17.43286864570634,27.749983361314833
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,4,0.001307,407,45,0.0010823904525646014,0.047222193,0.04272035253333333,-42677.32710929,-21046.66514959,-33132.50312583368,-33997.96926694377,-33997.96926694377,31444512.0,-28485778.755555555,407,0.0,37.97257646289926,37.97257596560197,22.54864449437346,32.83126564095823,22.544881420825362,34.51859222110826
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,5,0.001508,407,45,0.0009121156010032615,0.033810802,0.028791283577777778,-40096.98741891,-34272.48181424,-37235.770690274665,-38506.80093151044,-38506.80093151044,22534366.0,-19190232.133333333,407,0.0,47.188366039312044,47.18836541523342,30.285277470515968,41.55400297502048,23.90757824264049,35.003193698240565
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,6,0.00181,407,45,0.0005633218037368115,0.02206845,0.0016559610031111113,-41904.6489114,-36373.29926822,-38124.816811558434,-40720.562318106226,-40720.562318106226,14710296.0,-1091770.829555556,407,0.0,49.30786287223587,49.30786224078624,32.71412984766585,43.77661832022932,22.56795179876313,33.92925142460776
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,7,0.002011,407,45,0.0007729319176997338,0.0361396,-0.016701512606666667,-41281.69889799,-32955.16597112,-36063.10180528337,-39079.90861870911,-39079.90861870911,24088078.0,11151882.888888888,407,0.0,43.497732754299754,43.497731987714985,28.871525737100736,38.62233015970516,20.079620236059505,30.873480003126193
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,8,0.002312,407,45,0.0010247252172919563,0.045671482,-0.03761721955555555,-39933.70409968,-24489.61662714,-30356.336803623122,-32741.199776973783,-32741.199776973783,30411838.0,25098489.466666665,407,0.0,27.56157922014742,27.561578811547914,17.9430916,24.35541654389845,15.852475503222756,38.15214099170215
CaseT4k_InitialStressOnly_FeedbackOff,initial stress only,9,0.002514,407,45,0.0010434672362251462,0.049938265,-0.04403129875555555,-30022.74044031,-20916.87079018,-25408.28910837767,-25788.712442132437,-25788.712442132437,33303212.0,29359608.755555555,407,0.0,14.739816290565111,14.739815962825553,9.290470844619165,12.923367699336609,14.502507012986507,40.72639136787747
