case,label,frame,time,particle_count,center_count,velocity_max,divvel_maxabs,divvel_center_mean,porepress_min,porepress_max,porepress_mean,porepress_center_mean,excess_center_mean,porepressrate_maxabs,porepressrate_center_mean,negative_pressure_count,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",1,0.000503,407,45,0.000968458111408096,0.030540999,0.021668603200000004,-10235.56260894,-4059.836936988,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",2,0.000804,407,45,0.0011284463052013921,0.067193255,0.047820367044444444,-23501.52625974,-9842.841937759,-16804.49040173826,-16672.532188494002,-16672.532188494002,44764000.0,-31884674.133333333,407,0.0,-5.535243998402948,-5.535244177002457,-12.89582418894349,7.988770788116298,11.784177918219532
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",3,0.001005,407,45,0.0011813643295111964,0.05969448,0.04338122944444445,-31797.24887451,-14318.19935327,-22436.11599990059,-22695.91905988578,-22695.91905988578,39737384.0,-28923848.71111111,407,0.0,9.10489131144963,9.104891048845207,0.06110196117936112,-6.090294773824733,14.636581970114195
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",4,0.001307,407,45,0.001090065966206019,0.036196858,0.024938962555555555,-40161.92013711,-16411.50859405,-27699.392881532724,-29126.999892277116,-29126.999892277116,24111352.0,-16620058.711111112,407,0.0,22.23746768820639,22.237467434889435,13.270529819803441,-19.248488314299752,15.332049131920733
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",5,0.001508,407,45,0.0009280408121595934,0.027213369,0.007255900993333334,-37255.8081825,-20367.76227565,-29258.80361569769,-29746.159178509548,-29746.159178509548,18149050.0,-4823497.443111111,407,0.0,23.62809339058968,23.628093170098282,16.577472980589683,-21.277886513759217,13.929119089594955
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",6,0.00181,407,45,0.0012130704312943157,0.043120541,-0.019343452844444445,-37030.48306562,-15890.10468437,-26700.840521691596,-27556.63120269866,-27556.63120269866,28697372.0,12919978.366666667,407,0.0,15.462296418181818,15.462296151351351,13.72434103832924,-14.88297786928747,12.16757882587902
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",7,0.002011,407,45,0.0012840752906560602,0.047333632,-0.032129304177777776,-38095.15888328,-11683.07405443,-23174.120887284178,-23627.346254760225,-23627.346254760225,31484308.0,21446422.133333333,407,0.0,5.035922079437101,5.03592178404226,8.126688402702703,-6.0661774220606866,15.408937811894406
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",8,0.002312,407,45,0.0011552537518546367,0.04821467,-0.03992142237777777,-37662.67241143,-3724.57589699,-16772.9538150556,-15898.65575476578,-15898.65575476578,32111764.0,26637888.0,407,0.0,-13.756077056019654,-13.756077400245697,-2.2980728335380842,9.93674242993448,25.85428036271222
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",9,0.002514,407,45,0.0010042152344130696,0.046809137,-0.037270129000000006,-25962.77751406,-6278.101562954,-12498.005807343498,-9568.719161951467,-9568.719161951467,31224870.0,24855049.82222222,407,0.0,-25.890198445700246,-25.890198670761674,-8.616879043022113,20.132425386494674,32.4554414660394
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",10,0.002815,407,45,0.0007403616015573885,0.03578385,-0.023979962288888892,-22682.92295442,-1856.291796526,-7900.153500549159,-3719.448504980111,-3719.448504980111,23846190.0,15985304.577777777,407,0.0,-40.14470297985749,-40.14470309845701,-14.59176854,31.62705820610483,40.06082544787091
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",11,0.003016,407,45,0.0008956706200000001,0.022987461,-0.011434485895555555,-20231.83760542,1673.869845121,-6264.845749821772,-1753.4830254410351,-1753.4830254410351,15295988.0,7616316.417777777,398,0.0,-45.856993415724816,-45.85699331936118,-15.43199780938575,35.715328181490584,43.4054856894383
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",12,0.003318,407,45,0.0011982882000000001,0.021167211,0.008026686951111113,-16750.91617328,3349.790598739,-6153.739794996598,-2090.7298900479113,-2090.7298900479113,14106011.0,-5362053.934222222,396,0.0,-48.13797488329239,-48.13797483194104,-11.703330885675676,35.99309353363636,46.153286368056264
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",13,0.003519,407,45,0.0013068735,0.032628942,0.019109886222222223,-12815.55215998,-2067.776353858,-7458.320807723873,-5055.851871401465,-5055.851871401465,21748592.0,-12745155.333333334,407,0.0,-45.74466794083538,-45.74466789936118,-6.2217050668304665,32.570346969009,47.01940451687853
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",14,0.003821,407,45,0.0012650329,0.040241078,0.030518141444444445,-17862.98929656,-4472.785787005,-11130.072806628732,-10538.331561101688,-10538.331561101688,26797122.0,-20348303.111111112,407,0.0,-37.66519503046683,-37.66519501203931,5.15749122071253,23.390966273931205,48.24465901216616
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",15,0.004022,407,45,0.0010877075000000002,0.039207805,0.03346561175555555,-22553.13878704,-6578.013763236,-14154.663619642562,-14960.994733798,-14960.994733798,26145538.0,-22310550.48888889,407,0.0,-30.57950927882801,-30.579509301869777,13.670552769363146,15.829488603778216,48.91064666691384
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",16,0.004323,407,45,0.000690148999401332,0.041495588,0.029821010955555553,-28728.73309028,-7494.08066601,-18538.06666096159,-21344.304675970892,-21344.304675970892,27649010.0,-19876183.377777778,407,0.0,-20.055904999115477,-20.055905045380836,25.49887020120393,4.870979947764128,49.487281875865314
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",17,0.004524,407,45,0.0005678008211286415,0.036368471,0.02246604164,-27223.61631371,-15286.76017818,-21402.96869113302,-24192.934234863114,-24192.934234863114,24235274.0,-14965797.08888889,407,0.0,-14.59477126411548,-14.594771259638822,31.484290941253075,-0.764916139166257,49.59565525371595
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",18,0.004826,407,45,0.00047287102758560804,0.01973054,0.00652361528,-30156.49614475,-16389.52685907,-23080.767562307272,-26631.38753872778,-26631.38753872778,13118158.0,-4335282.31111111,407,0.0,-10.592470195847667,-10.592469986683048,36.0631816741769,-4.959413830548731,49.56888383634903
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",19,0.005027,407,45,0.0006715373000000003,0.020629315,-0.005173443751111112,-31305.40629756,-17367.95082249,-22929.320435341622,-26324.14578533511,-26324.14578533511,13753803.0,3462613.388888889,407,0.0,-11.087971725208844,-11.087971439646191,35.918331023095824,-4.580795952746929,49.66717633561179
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",20,0.005329,407,45,0.0009435289000000001,0.02667236,-0.019818987333333336,-29185.13567306,-18412.01671915,-21120.042709931007,-23231.26434479289,-23231.26434479289,17762988.0,13222843.022222223,407,0.0,-15.753029775398034,-15.753029493938575,31.678862869041772,-0.05760119990171979,50.231783262463914
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",21,0.00553,407,45,0.0010030195,0.027924173,-0.025459063022222218,-21918.3365686,-16660.44847379,-19208.805992936363,-19594.444849511776,-19594.444849511776,18635784.0,16976771.844444446,407,0.0,-20.47982820398526,-20.47982789936855,27.022978544840296,4.6455591861711705,50.80489676084901
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",22,0.005831,407,45,0.00094366085,0.032605339,-0.0265215628,-21595.49329144,-12118.91670443,-16103.06723334683,-14203.577823601334,-14203.577823601334,21741642.0,17676934.644444443,407,0.0,-28.07008191781327,-28.07008160592138,18.910442342432432,12.409907060434072,51.49724376140412
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",23,0.006032,407,45,0.0008355628800000003,0.029794741,-0.022855857466666664,-21999.9068635,-9903.573417691,-14222.926513579438,-10993.15070493289,-10993.15070493289,19856172.0,15228013.6,407,0.0,-32.46078548746929,-32.46078514692875,13.590792500491402,17.110259377968877,51.47365649906737
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",1,0.000503,407,45,0.000968458111408096,0.030540999,0.021668603200000004,-10235.56260894,-4059.836936988,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",2,0.000804,407,45,0.0011297798746856616,0.063133046,0.04616135066666667,-22837.83714541,-9906.723197833,-16536.22690787997,-16480.791364795114,-16480.791364795114,42048432.0,-30778325.644444443,407,0.0,-5.996832232004913,-5.996832385479116,-13.984624064461915,8.659429560648649,11.63287147170511
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",3,0.001005,407,45,0.001177502822248144,0.061745077,0.03977019633333334,-30391.7986472,-14496.97599938,-21650.158065970787,-22089.442968774223,-22089.442968774223,41137708.0,-26515147.555555556,407,0.0,7.774851445651104,7.774851179164619,-3.173505038083539,-4.125399195577396,15.083148026716504
