step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
1,0.000502713,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
2,0.000603254,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
3,0.000703793,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
4,0.000804332,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
5,0.000904871,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
6,0.00100541,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
7,0.00110595,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
8,0.00120648,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
9,0.00130702,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
10,0.00140756,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
11,0.0015081,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
12,0.00160863,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
13,0.00170917,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
14,0.00180971,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
15,0.00191024,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
16,0.00201078,0.0,0,0,0.0,0.0,0.0,0.0,0,0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
