case,label,frame,time,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",0,407.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",1,0.000503,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",2,0.000804,-5.535243998402948,-5.535244177002457,-12.89582418894349,7.988770788116298,11.784177918219532
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",3,0.001005,9.10489131144963,9.104891048845207,0.06110196117936112,-6.090294773824733,14.636581970114195
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",4,0.001307,22.23746768820639,22.237467434889435,13.270529819803441,-19.248488314299752,15.332049131920733
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",5,0.001508,23.62809339058968,23.628093170098282,16.577472980589683,-21.277886513759217,13.929119089594955
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",6,0.00181,15.462296418181818,15.462296151351351,13.72434103832924,-14.88297786928747,12.16757882587902
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",7,0.002011,5.035922079437101,5.03592178404226,8.126688402702703,-6.0661774220606866,15.408937811894406
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",8,0.002312,-13.756077056019654,-13.756077400245697,-2.2980728335380842,9.93674242993448,25.85428036271222
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",9,0.002514,-25.890198445700246,-25.890198670761674,-8.616879043022113,20.132425386494674,32.4554414660394
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",10,0.002815,-40.14470297985749,-40.14470309845701,-14.59176854,31.62705820610483,40.06082544787091
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",11,0.003016,-45.856993415724816,-45.85699331936118,-15.43199780938575,35.715328181490584,43.4054856894383
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",12,0.003318,-48.13797488329239,-48.13797483194104,-11.703330885675676,35.99309353363636,46.153286368056264
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",13,0.003519,-45.74466794083538,-45.74466789936118,-6.2217050668304665,32.570346969009,47.01940451687853
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",14,0.003821,-37.66519503046683,-37.66519501203931,5.15749122071253,23.390966273931205,48.24465901216616
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",15,0.004022,-30.57950927882801,-30.579509301869777,13.670552769363146,15.829488603778216,48.91064666691384
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",16,0.004323,-20.055904999115477,-20.055905045380836,25.49887020120393,4.870979947764128,49.487281875865314
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",17,0.004524,-14.59477126411548,-14.594771259638822,31.484290941253075,-0.764916139166257,49.59565525371595
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",18,0.004826,-10.592470195847667,-10.592469986683048,36.0631816741769,-4.959413830548731,49.56888383634903
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",19,0.005027,-11.087971725208844,-11.087971439646191,35.918331023095824,-4.580795952746929,49.66717633561179
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",20,0.005329,-15.753029775398034,-15.753029493938575,31.678862869041772,-0.05760119990171979,50.231783262463914
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",21,0.00553,-20.47982820398526,-20.47982789936855,27.022978544840296,4.6455591861711705,50.80489676084901
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",22,0.005831,-28.07008191781327,-28.07008160592138,18.910442342432432,12.409907060434072,51.49724376140412
CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off",23,0.006032,-32.46078548746929,-32.46078514692875,13.590792500491402,17.110259377968877,51.47365649906737
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",0,407.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",1,0.000503,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",2,0.000804,-5.996832232004913,-5.996832385479116,-13.984624064461915,8.659429560648649,11.63287147170511
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",3,0.001005,7.774851445651104,7.774851179164619,-3.173505038083539,-4.125399195577396,15.083148026716504
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",4,0.001307,19.098018903980346,19.098018693808353,4.83927247997543,-14.34510335925471,20.954239255059832
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",5,0.001508,19.500142556658478,19.500142378353807,4.069338277518428,-14.35654107084357,25.841817917179757
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",6,0.00181,10.88970096805897,10.889700867321869,-4.814220070810811,-5.655060588190007,34.63720633581204
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",7,0.002011,0.9156041992628994,0.9156040901965595,-14.18136075208845,4.116717487542998,41.26706099338275
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",8,0.002312,-16.21882343039312,-16.218823329484028,-29.76595606142506,20.734534273767405,50.723013928814765
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",9,0.002513,-26.806986515970515,-26.806986373955777,-39.227030001449634,30.947000963791975,55.740502239470096
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",10,0.002815,-38.5467052019656,-38.54670517174447,-49.59680827764128,42.230072883783784,60.01607606479209
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",11,0.003016,-42.699591774299755,-42.6995916795086,-53.21558397936118,46.20492247772317,60.55833914422541
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",12,0.003318,-43.07920850685504,-43.07920855992628,-53.44178278427518,46.53339995035217,58.68463557154302
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",13,0.003519,-39.8160513185258,-39.816051169213765,-50.484912172235866,43.37233821999181,56.41997087230549
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",14,0.00382,-31.306337118894348,-31.306336885233414,-42.89404897542998,35.16890765985258,53.19149441639222
CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off",15,0.004021,-24.62068449312039,-24.62068441658477,-36.970166467813264,28.73717845917281,51.845376743682515
