step,time,p0_eff,active_targets,lateral_max_accel,com_accel,symmetry_residual,lateral_accel_mean,lateral_accel_max,cap_axial_leakage_mean,cap_axial_leakage_max,case,label
1,0.000502713,25.1356,112,0.96846,1.24832e-08,1.31951e-08,0.941202,0.958776,0.0,0.0,CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off"
2,0.000603254,30.1627,112,1.16215,3.4297e-08,3.02108e-08,1.12944,1.15053,0.0,0.0,CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off"
3,0.000703793,35.1896,112,1.35584,8.00672e-09,6.04526e-09,1.31768,1.34228,0.0,0.0,CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off"
4,0.000804332,40.2166,112,1.54952,5.00034e-08,3.30346e-08,1.50591,1.53403,0.0,0.0,CaseT4l_CurrentMismatch_FeedbackOff,"lateral only, feedback off"
1,0.000502713,25.1356,112,0.96846,1.24832e-08,1.31951e-08,0.941202,0.958776,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off"
2,0.000603254,30.1627,112,1.16215,2.63191e-08,2.31834e-08,1.12944,1.15053,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off"
3,0.000703793,35.1896,112,1.35584,1.22518e-08,9.25039e-09,1.31768,1.34228,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off"
4,0.000804332,40.2166,112,1.54952,5.04834e-08,3.33516e-08,1.50591,1.53403,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackOff,"full support, feedback off"
1,0.000502713,25.1356,112,0.96846,1.1189e-08,1.18271e-08,0.941202,0.958776,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
2,0.000603254,30.1627,112,1.16215,2.61326e-08,2.30191e-08,1.12944,1.15053,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
3,0.000703793,35.1896,112,1.35584,1.40348e-08,1.05966e-08,1.31768,1.34228,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
4,0.000804332,40.2166,112,1.54952,1.83774e-08,1.21409e-08,1.50591,1.53403,0.0,0.0,CaseT4l_FullHydrostatic_FeedbackDelayed,"full support, delayed feedback"
