step,time,p0_eff,active_targets,legacy_targets,net_force_x,net_force_y,net_force_z,total_abs_force,max_accel,com_accel,symmetry_residual,fi_min,fi_max,fi_mean,fi_threshold,fi_selected,class_interior,class_lateral,class_top,class_bottom,class_edge,class_outside,lateral_fi_selected,cap_fi_selected,lateral_accel_mean,lateral_accel_max,cap_accel_mean,cap_accel_max,case,label,route,feedback,cap_p0_eff,cap_top_targets,cap_bottom_targets,cap_edge_skipped,cap_top_accel_mean,cap_bottom_accel_mean,cap_total_abs_force,cap_com_accel,cap_symmetry_residual
1,0.000502713,25.1356,112,407,2.00964e-09,1.92102e-09,-9.44178e-10,0.222511,0.96846,1.24832e-08,1.31951e-08,0.407173,1.00133,0.745125,0.7,208,63,196,18,18,112,0,112,96,0.941202,0.958776,0.0,0.0,CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,,,,,,,,,
2,0.000603254,30.1627,112,407,4.06688e-09,4.49049e-09,1.27096e-09,0.267013,1.16215,2.63191e-08,2.31834e-08,0.407172,1.00133,0.745124,0.7,208,63,196,18,18,112,0,112,96,1.12944,1.15053,0.0,0.0,CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,,,,,,,,,
3,0.000703793,35.1896,112,407,2.14585e-10,1.2091e-09,-2.60688e-09,0.311514,1.35584,1.22518e-08,9.25039e-09,0.407171,1.00133,0.745123,0.7,208,63,196,18,18,112,0,112,96,1.31768,1.34228,0.0,0.0,CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,,,,,,,,,
4,0.000804332,40.2166,112,407,2.42817e-09,6.57274e-09,-9.58579e-09,0.356015,1.54952,5.04834e-08,3.33516e-08,0.40717,1.00133,0.745122,0.7,208,63,196,18,18,112,0,112,96,1.50591,1.53403,0.0,0.0,CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,,,,,,,,,
1,0.000502713,25.1356,208,407,1.10433e-09,6.53123e-10,-2.60268e-09,0.400984,0.96846,6.64316e-09,7.23654e-09,0.407173,1.00133,0.745125,0.7,208,63,196,18,18,112,0,112,96,0.941202,0.958776,0.512736,0.87633,CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,,,,,,,,,
2,0.000603254,30.1627,208,407,4.94748e-09,3.92863e-09,-1.65679e-09,0.48118,1.16215,1.49524e-08,1.35733e-08,0.407172,1.00133,0.745124,0.7,208,63,196,18,18,112,0,112,96,1.12944,1.15053,0.615282,1.0516,CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,,,,,,,,,
3,0.000703793,35.1896,208,407,-1.22206e-10,-7.57986e-10,-4.56015e-09,0.561374,1.35584,1.05869e-08,8.23753e-09,0.407171,1.00133,0.745123,0.7,208,63,196,18,18,112,0,112,96,1.31768,1.34228,0.717827,1.22686,CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,,,,,,,,,
4,0.000804332,40.2166,208,407,-6.35864e-10,4.9857e-09,-8.56576e-09,0.641569,1.54952,2.27369e-08,1.54799e-08,0.40717,1.00133,0.745122,0.7,208,63,196,18,18,112,0,112,96,1.50591,1.53403,0.820371,1.40212,CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,,,,,,,,,
1,0.000502713,25.1356,208,407,-2.86626e-09,-1.47231e-09,-1.65515e-11,0.400984,0.96846,7.37713e-09,8.03607e-09,0.407173,1.00133,0.745126,0.7,208,63,196,18,18,112,0,112,96,0.941202,0.958776,0.512736,0.876331,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,,,,,,,,,
2,0.000603254,30.1627,208,407,3.50293e-09,2.64552e-09,-1.93821e-09,0.48118,1.16215,1.09857e-08,9.97246e-09,0.407172,1.00133,0.745125,0.7,208,63,196,18,18,112,0,112,96,1.12944,1.15053,0.615282,1.0516,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,,,,,,,,,
