step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_confining_ref,feedback_limited,feedback_relaxed,case,label,route,feedback
0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
1,0.000502713,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
2,0.000603254,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
3,0.000703793,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
4,0.000804332,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
5,0.000904872,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
6,0.00100541,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
7,0.00110595,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
8,0.00120649,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
9,0.00130703,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
10,0.00140757,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
11,0.00150811,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
12,0.00160865,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
13,0.0017092,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
14,0.00180974,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
15,0.00191028,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
16,0.00201082,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
17,0.00211136,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
18,0.0022119,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
19,0.00231245,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
20,0.00241299,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
21,0.00251353,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
22,0.00261407,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
23,0.00271462,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
24,0.00281516,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
25,0.0029157,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
26,0.00301624,0.0108276,63,344,0.462598,0.37362,0.462598,0.37362,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
27,0.00311678,0.0778552,63,344,3.70476,3.19806,3.70476,3.19806,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
28,0.00321732,0.144883,63,344,6.78417,5.31884,6.78417,5.31884,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
29,0.00331787,0.21191,63,344,5.03025,3.60403,5.03025,3.60403,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
30,0.00341841,0.278937,63,344,9.20195,6.29591,9.20195,6.29591,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
31,0.00351894,0.345962,63,344,20.5364,15.6534,20.5364,15.6534,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
32,0.00361948,0.412988,63,344,5.94483,4.57419,5.94483,4.57419,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
33,0.00372002,0.48001,63,344,54.7199,38.3645,54.7199,38.3645,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
34,0.00382055,0.54703,63,344,27.1993,15.5793,27.1993,15.5793,1.92646,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
35,0.00392108,0.614052,63,344,152.558,113.416,152.558,113.416,1.92647,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
