case,label,route,feedback,frame,time,particle_count,center_count,velocity_max,divvel_maxabs,porepress_min,porepress_mean,porepress_center_mean,excess_center_mean,porepressrate_maxabs,porepressrate_center_mean,negative_pressure_count,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,407,45,0.000968458111408096,0.030540999,-10235.56260894,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,2,0.000804,407,45,0.0011297798746856616,0.063133046,-22837.83714541,-16536.22690787997,-16480.791364795114,-16480.791364795114,42048432.0,-30778325.644444443,407,0.0,-5.996832232004913,-5.996832385479116,-13.984624064461915,8.659429560648649,11.63287147170511
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,3,0.001005,407,45,0.001177502822248144,0.061745077,-30391.7986472,-21650.158065970787,-22089.442968774223,-22089.442968774223,41137708.0,-26515147.555555556,407,0.0,7.774851445651104,7.774851179164619,-3.173505038083539,-4.125399195577396,15.083148026716504
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,4,0.001307,407,45,0.0015436858332690728,0.05002803,-39070.65742893,-25738.039433706927,-27320.89928392556,-27320.89928392556,33285706.0,-11881220.233333332,407,0.0,19.098018903980346,19.098018693808353,4.83927247997543,-14.34510335925471,20.954239255059832
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,5,0.001508,407,45,0.0019987959000000006,0.03691569,-33619.06118823,-26257.61935289248,-26599.940536619557,-26599.940536619557,24589346.0,980048.8917777777,407,0.0,19.500142556658478,19.500142378353807,4.069338277518428,-14.35654107084357,25.841817917179757
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,407,45,0.0023363293,0.058780503,-37187.38501577,-22777.02757606808,-22579.548745548887,-22579.548745548887,39127020.0,18884684.088888887,407,0.0,10.88970096805897,10.889700867321869,-4.814220070810811,-5.655060588190007,34.63720633581204
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,407,45,0.002253118,0.066412851,-38225.4810423,-18868.317087507494,-17596.677924212003,-17596.677924212003,44174260.0,26384125.155555554,407,0.0,0.9156041992628994,0.9156040901965595,-14.18136075208845,4.116717487542998,41.26706099338275
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,407,45,0.0018996352455410534,0.064251535,-37838.79774372,-12221.19155279919,-8854.912721725577,-8854.912721725577,42678160.0,29144481.82222222,361,0.0,-16.21882343039312,-16.218823329484028,-29.76595606142506,20.734534273767405,50.723013928814765
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,407,45,0.001776846436381847,0.055032194,-25693.69338144,-7677.358262323001,-2891.345147431689,-2891.345147431689,36669316.0,25683712.4,401,0.0,-26.806986515970515,-26.806986373955777,-39.227030001449634,30.947000963791975,55.740502239470096
