case,label,route,feedback,frame,time,region,region_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean,porepress_mean,porepress_min,porepressrate_maxabs,divvel_maxabs,velocity_max
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,interior,63,-50.0,-50.0,-50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,lateral,196,-50.0,-50.0,-50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,top_cap,18,-50.0,-50.0,-50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,bottom_cap,18,-50.0,-50.0,-50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,0,407.0,edge,112,-50.0,-50.0,-50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,interior,63,-28.2883276031746,-28.288328015873017,-34.10920453968254,30.228620052910053,6.138056832674405,-7908.553224613253,-9710.47827887,19316162.0,0.028974246,0.00017493867082406036
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,lateral,196,-30.07459751530612,-30.0745976377551,-36.25118332142857,32.133459491496595,6.848037569623879,-7146.615306436883,-9851.577644334,19596838.0,0.02939526,0.000968458111408096
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,top_cap,18,-28.172849222222222,-28.172849666666664,-24.274466388888886,26.873388425925928,4.82135951510371,-9250.64495680511,-10235.56260894,20360664.0,0.030540999,0.0009012240300000021
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,bottom_cap,18,-28.17285027777778,-28.17285011111111,-24.274469666666665,26.87339001851852,4.821357707403021,-9250.644007236833,-10235.56260894,20360664.0,0.030540997,0.0009012240300000006
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,1,0.000503,edge,112,-32.44594375892857,-32.4459436875,-32.17437964285714,32.35542236309524,2.9882607920638335,-7057.830420335777,-10122.23208281,20135226.0,0.030202841,0.0009336771635613511
