case,step,time,feedback_factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,used_to_reference_ratio_max,confining_ref,limited,relaxed,cap_min
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,0,0.00603247,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,1,0.00613301,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,2,0.00623355,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,3,0.0063341,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,4,0.00643464,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,5,0.00653518,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,6,0.00663572,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,7,0.00673625,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,8,0.00683679,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,9,0.00693733,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,10,0.00703787,0.0378689,63,344,8.21059,5.21847,8.21059,5.21847,0.839886,4.26201,1.92646,0,0,0.0
