case,step,time,p0_eff,targets,legacy_targets,max_confining_accel,com_accel,symmetry_residual,lateral_selector_active
CaseT4n2_StageA_AllSurface_FeedbackOff,1,0.000502713,25.1356,208,407,0.96846,6.64316e-09,7.23654e-09,0
CaseT4n2_StageA_AllSurface_FeedbackOff,2,0.000603254,30.1627,208,407,1.16215,1.49524e-08,1.35733e-08,0
CaseT4n2_StageA_AllSurface_FeedbackOff,3,0.000703793,35.1896,208,407,1.35584,1.05869e-08,8.23753e-09,0
CaseT4n2_StageA_AllSurface_FeedbackOff,4,0.000804332,40.2166,208,407,1.54952,2.27369e-08,1.54799e-08,0
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,0,0.00603247,50.0,112,407,1.92646,2.62357e-08,1.39414e-08,1
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,1,0.00613301,50.0,112,407,1.92646,4.09473e-08,2.17589e-08,1
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,2,0.00623355,50.0,112,407,1.92646,1.00609e-08,5.34627e-09,1
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,3,0.0063341,50.0,112,407,1.92646,3.0894e-08,1.64167e-08,1
CaseT4n2_StageB_Restart_Lateral_FeedbackOff,4,0.00643464,50.0,112,407,1.92646,1.6849e-08,8.95335e-09,1
CaseT4n2_Fresh_Lateral_FeedbackOff,1,0.000502713,25.1356,112,407,0.96846,1.24832e-08,1.31951e-08,1
CaseT4n2_Fresh_Lateral_FeedbackOff,2,0.000603254,30.1627,112,407,1.16215,3.4297e-08,3.02108e-08,1
CaseT4n2_Fresh_Lateral_FeedbackOff,3,0.000703793,35.1896,112,407,1.35584,8.00672e-09,6.04526e-09,1
CaseT4n2_Fresh_Lateral_FeedbackOff,4,0.000804332,40.2166,112,407,1.54952,5.00034e-08,3.30346e-08,1
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,0,0.00603247,50.0,112,407,1.92646,2.62357e-08,1.39414e-08,1
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,1,0.00613301,50.0,112,407,1.92646,3.8313e-08,2.03591e-08,1
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,2,0.00623355,50.0,112,407,1.92646,3.15264e-08,1.67528e-08,1
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,3,0.0063341,50.0,112,407,1.92646,2.26304e-08,1.20255e-08,1
CaseT4n2_StageC_Restart_Lateral_FeedbackDelayed,4,0.00643464,50.0,112,407,1.92646,7.76908e-09,4.1284e-09,1
