case,step,time,p0_eff,top_targets,bottom_targets,edge_skipped,top_accel_mean,top_accel_max,bottom_accel_mean,bottom_accel_max,net_force_x,net_force_y,net_force_z,total_abs_force,com_accel,symmetry_residual
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,0,0.00603247,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,1,0.00613301,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,2,0.00623355,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,3,0.00633409,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,4,0.00643463,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,0,0.00603247,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,1,0.00613301,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,2,0.00623355,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,3,0.00633409,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,4,0.00643463,50.0,18,18,112,3.73999,3.73999,3.73999,3.73999,0.0,0.0,0.0,0.282743,0.0,0.0
