case,step,time,p0_eff,targets,legacy_targets,net_force_x,net_force_y,net_force_z,total_abs_force,max_accel,com_accel,symmetry_residual,lateral_selector_active
CaseT4o_StageA_AllSurface_FeedbackOff,1,0.000502713,25.1356,208,407,1.10433e-09,6.53123e-10,-2.60268e-09,0.400984,0.96846,6.64316e-09,7.23654e-09,0
CaseT4o_StageA_AllSurface_FeedbackOff,2,0.000603254,30.1627,208,407,4.94748e-09,3.92863e-09,-1.65679e-09,0.48118,1.16215,1.49524e-08,1.35733e-08,0
CaseT4o_StageA_AllSurface_FeedbackOff,3,0.000703793,35.1896,208,407,-1.22206e-10,-7.57986e-10,-4.56015e-09,0.561374,1.35584,1.05869e-08,8.23753e-09,0
CaseT4o_StageA_AllSurface_FeedbackOff,4,0.000804332,40.2166,208,407,-6.35864e-10,4.9857e-09,-8.56576e-09,0.641569,1.54952,2.27369e-08,1.54799e-08,0
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,0,0.00603247,50.0,112,407,-5.06569e-10,-4.96348e-09,3.63099e-09,0.442614,1.92646,2.62357e-08,1.39414e-08,1
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,1,0.00613301,50.0,112,407,2.35538e-09,6.17491e-10,7.40492e-09,0.442614,1.92646,3.3142e-08,1.76113e-08,1
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,2,0.00623355,50.0,112,407,-1.86778e-09,1.19613e-09,9.32411e-09,0.442614,1.92646,4.07495e-08,2.16538e-08,1
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,3,0.00633409,50.0,112,407,-1.92932e-09,-6.05577e-09,9.04062e-09,0.442614,1.92646,4.69861e-08,2.49679e-08,1
CaseT4o_StageB_Restart_LateralCap_FeedbackOff,4,0.00643463,50.0,112,407,9.14517e-10,1.02564e-10,1.31853e-08,0.442614,1.92646,5.61965e-08,2.98622e-08,1
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,0,0.00603247,50.0,112,407,-5.06569e-10,-4.96348e-09,3.63099e-09,0.442614,1.92646,2.62357e-08,1.39414e-08,1
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,1,0.00613301,50.0,112,407,4.33831e-10,2.73763e-10,7.15424e-09,0.442614,1.92646,3.04958e-08,1.62051e-08,1
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,2,0.00623355,50.0,112,407,2.56575e-09,9.06335e-10,1.12416e-08,0.442614,1.92646,4.91764e-08,2.61318e-08,1
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,3,0.00633409,50.0,112,407,4.45688e-10,-5.70511e-09,4.7867e-09,0.442614,1.92646,3.17199e-08,1.68556e-08,1
CaseT4o_StageC_Restart_LateralCap_FeedbackDelayed,4,0.00643463,50.0,112,407,-8.32046e-11,-2.81714e-09,1.42988e-08,0.442614,1.92646,6.19641e-08,3.2927e-08,1
