case,part,class,count,p_eff_mean,q_mean,porepress_mean,porepress_min,porepressrate_maxabs,velocity_max
stageA_all_surface,23,interior,63,44.965183,8.027975334598715,435.88240090491456,-326.509540466,20295862.0,0.00017033488000000606
stageA_all_surface,23,lateral,196,47.4475580680272,18.075031015797606,-3321.329311696297,-6484.03353175,17621480.0,0.00043270917005006526
stageA_all_surface,23,top_cap,18,41.93761222037037,16.200206055886465,-1123.7370902558728,-3059.66883372,7493508.0,0.0003599398012352992
stageA_all_surface,23,bottom_cap,18,41.93761273148148,16.20020511450741,-1123.7376964634211,-3059.668601999,7493509.5,0.00035993985740758957
stageA_all_surface,23,edge,112,46.72140532767859,15.514043279486339,-4828.7201500982865,-9328.680944399,7800380.0,0.00033807738755300775
stageB_lateral_cap,35,interior,63,22.90002436513228,99.24092541386459,-9245.021695976413,-10851.07381426,19254344.0,0.00034659584462408627
stageB_lateral_cap,35,lateral,196,32.348053876751706,42.35334661024251,-10967.45222577875,-13593.03735674,13295139.0,0.00041131756407505383
stageB_lateral_cap,35,top_cap,18,92.43614762962964,121.33618151934462,-6951.844124495723,-7785.992625637,24397962.0,0.001467451461864539
stageB_lateral_cap,35,bottom_cap,18,92.4361398888889,121.33617852009456,-6951.84624181039,-7785.994867764,24397970.0,0.0014674518253581141
stageB_lateral_cap,35,edge,112,-12.471454530892855,56.06354506013685,-12397.44627673339,-14888.75125692,27745268.0,0.0010723130398873828
stageC_delayed_feedback,35,interior,63,4125.522070793651,12158.891617721092,-988352.0695649507,-4563710.319688,931864580000.0,23.371305000000003
stageC_delayed_feedback,35,lateral,196,-4029.0019625510213,5264.152595783154,-614728.7151407839,-1103306.663279,93538763000.0,0.589936670000004
stageC_delayed_feedback,35,top_cap,18,-3655.1114716666666,2696.760295005797,-1101844.1955004889,-1577986.38101,112588460000.0,0.40325364000000075
stageC_delayed_feedback,35,bottom_cap,18,-3655.110309444444,2696.759067381924,-1101844.292573,-1577985.539985,112588420000.0,0.40325347000000056
stageC_delayed_feedback,35,edge,112,-494.62946786011906,765.653052047809,-648208.4589618269,-865111.614309,46468956000.0,0.11723282346100067
