case,part,time,n,p_eff_mean,q_mean,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,porepress_mean,porepress_min,porepress_max,negative_pressure_count,excess_porepress_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max,center_particle_count,center_porepress_mean,center_porepressrate_maxabs
stageA_all_surface,0,0.0,407,50.0,0.0,-50.0,-50.0,-50.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0
stageA_all_surface,1,0.000503,407,31.434423686322678,5.4967249700762615,-30.282442368550388,-30.28244248402949,-33.73838620638823,-7426.230126886061,-10235.56260894,-4059.836936988,407,-7426.230126886061,-14772317.084766585,20360664.0,0.022158477110565112,0.030540999,0.000968458111408096,0.0,15,-6798.773994392801,14177453.0
stageA_all_surface,2,0.000804,407,9.272451989541354,11.758614361094933,-6.7649508595331636,-6.764951177665846,-14.287453931425047,-16291.01799020445,-22633.63509749,-8911.935414763,407,-16291.01799020445,-28219119.346437346,39813860.0,0.04232868156511056,0.059767481,0.0009911919500000018,0.0,15,-15824.631998211331,32174510.0
stageA_all_surface,3,0.001005,407,-2.2489096326371842,14.58205980169689,5.4285308270515955,5.42853039914005,-4.110332328280095,-20899.562167218664,-29242.78389121,-11516.69297889,407,-20899.562167218664,-20712014.842751842,30683260.0,0.031068023987715,0.046079595,0.0008702169840457516,0.0,15,-21880.393421340003,30211260.0
stageA_all_surface,4,0.001307,407,-8.936413325397218,15.403183212887336,12.39099257353809,12.390992162457009,2.0272552401965602,-23574.563550192506,-33399.42784628,-13345.19247462,407,-23574.563550192506,-2553207.5872727283,20824992.0,0.0038298111017199053,0.03118398,0.0005046642823271004,0.0,15,-28705.166733871334,20824992.0
stageA_all_surface,5,0.001508,407,-5.763879314399676,14.092218510453861,8.844808402941032,8.844807964582307,-0.39797842432432307,-23105.067075953044,-30027.0166869,-18942.50690542,407,-23105.067075953044,9107039.519299755,22056930.0,-0.013660560404766582,0.033080675,0.0007183792213336582,0.0,15,-28914.64925542134,8471441.0
stageA_all_surface,6,0.00181,407,7.8208597110073645,11.372887540884557,-6.026713951351354,-6.026714370270274,-11.409150811400483,-17671.172282895164,-27930.00351334,-12604.26064199,407,-17671.172282895164,21658893.444717444,33779872.0,-0.03248834287223583,0.050710183,0.001013614232969593,0.0,15,-25928.933998956,17745528.0
stageA_all_surface,7,0.002011,407,20.315268588493026,10.510289895801733,-19.71869504260443,-19.71869552562655,-21.508415197248155,-12673.409395473043,-23013.9670849,-6430.670796853,407,-12673.409395473043,25610371.164619166,35681600.0,-0.03841555955773956,0.053502753,0.0011043684359660847,0.0,15,-20761.224967876,28478792.0
stageA_all_surface,8,0.002312,407,39.704865015970526,13.473127399574315,-41.08722654299755,-41.087227179361214,-36.94014132555284,-4917.571725111452,-15091.42146496,2822.815902913,359,-4917.571725111452,24945614.867321867,37263912.0,-0.03741842503194109,0.055827338,0.0010122877039856308,0.0,15,-10467.188601993734,37263912.0
stageA_all_surface,9,0.002514,407,50.79803752252251,16.555769351106335,-53.42823371498772,-53.42823423832919,-45.537644614250645,-460.3191378508261,-2863.034184943,1313.748877227,235,-460.3191378508261,20910502.08108108,36459900.0,-0.031365755201474166,0.054664779,0.0008512253479789106,0.0,15,-2451.7262887232005,36459900.0
