case,part,time,total_count,specimen_count,top_platen_count,bottom_platen_count,measurement_count,platen_contamination_in_measurement,top_platen_z_mean,top_platen_displacement,top_platen_vz_mean,bottom_platen_z_mean,bottom_platen_displacement,bottom_platen_vmag_max,specimen_axial_strain_proxy,specimen_velocity_max,velocity_max,p_eff_mean,q_mean,porepress_mean,porepress_min,porepressrate_maxabs,divvel_maxabs,kplastic_max
geometry_no_load,0,0.0,555,407,0,148,15,0,nan,nan,nan,0.050000000050000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometry_no_load,1,0.000503,555,407,0,148,15,0,nan,nan,nan,0.050000000050000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometry_no_load,2,0.000804,555,407,0,148,15,0,nan,nan,nan,0.050000000050000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geometry_no_load,3,0.001005,555,407,0,148,15,0,nan,nan,nan,0.050000000050000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_velocity,0,0.0,555,407,74,74,15,0,0.11500000000000005,0.0,0.0,-0.014999999900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_velocity,1,0.000503,555,407,74,74,15,0,0.11499748999999991,-2.5100000001360145e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_velocity,2,0.000804,555,407,74,74,15,0,0.11499597999999994,-4.0200000001044955e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-1.5499996806889182e-06,0.0015100524000000004,0.0049999999,9.376657628498206,9.73711713075818,599.1641038707347,0.002829449247533,16646190.0,0.024976412,0.0
top_velocity,3,0.001005,555,407,74,74,15,0,0.11499497500000004,-5.025000000005719e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-4.229975706232514e-06,0.0024368633000000006,0.0049999999,15.574422291002312,17.89790113156842,1461.9112374391163,-473.2061077434,25430056.0,0.038173441,0.0
top_velocity,4,0.001307,555,407,74,74,15,0,0.11499346499999995,-6.5350000000991004e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-1.0489195740037704e-05,0.0036384694000000006,0.0049999999,23.727344983694202,33.08545403487396,3001.7108675841428,-3655.166444592,31807398.0,0.047800135,0.0
top_velocity,5,0.001508,555,407,74,74,15,0,0.11499250000000007,-7.499999999979745e-06,-0.004596354899999993,-0.014999999900000002,0.0,0.0,-1.6076164355421918e-05,0.004274869300000001,0.0045963549,27.940730223483225,45.221916221192814,4194.341168624555,-113.5105932725,30368034.0,0.045617662,0.0
top_velocity_lateral,0,0.0,555,407,74,74,15,0,0.11500000000000005,0.0,0.0,-0.014999999900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_velocity_lateral,1,0.000503,555,407,74,74,15,0,0.11499748999999991,-2.5100000001360145e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_velocity_lateral,2,0.000804,555,407,74,74,15,0,0.11499597999999994,-4.0200000001044955e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-1.5444879164494552e-06,0.0015063080000000005,0.0049999999,12.220787277643739,10.8575531457631,1734.556308307376,6.721931396915,20776614.0,0.031171799,0.0
top_velocity_lateral,3,0.001005,555,407,74,74,15,0,0.11499497500000004,-5.025000000005719e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-4.130368580074206e-06,0.0024198727000000015,0.0049999999,22.761834853537984,20.30362161804781,4324.1136018019115,-448.2004600918,32690302.0,0.049062062,0.0
top_velocity_lateral,4,0.001307,555,407,74,74,15,0,0.11499346499999995,-6.5350000000991004e-06,-0.004999999899999997,-0.014999999900000002,0.0,0.0,-1.0352240700089999e-05,0.0035802205000000013,0.0049999999,39.22683211455765,36.85842642022721,9143.012572285747,-3560.471214235,40841084.0,0.061336588,0.0
top_velocity_lateral,5,0.001508,555,407,74,74,15,0,0.11499250000000007,-7.499999999979745e-06,-0.004596369300000009,-0.014999999900000002,0.0,0.0,-1.5789309509989247e-05,0.004178799700000004,0.0045963693,49.09910626599677,49.010599686031625,12485.602316495526,1366.603995586,40173304.0,0.060293276,0.0
