case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_no_confinement,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,2,0.000804,core_small,15,0,130.1141391181947,129.34240414442655,2295365.8,-0.0014329513319999998,0.0034408974,0.0,-0.21083041553333334,-0.2108304176666667,-0.5536124812666666,0.5536124812666666,0.0015653024136746791,0.3250911048222222,0.3427820646666666
platen_no_confinement,2,0.000804,core_medium,45,0,280.656172881963,391.04160204846403,6998827.0,-0.0027717374313777775,0.01049565,0.0,-0.4502564497133334,-0.45025644375777785,-1.2037312074888888,1.2037312074888888,0.0034034698065094774,0.70141470032,0.7534747607533332
platen_no_confinement,2,0.000804,specimen_minus_edges,83,0,452.05474405175045,823.8721103549265,15613158.0,-0.004015271802736144,0.02342589,0.0,-0.7959848115074699,-0.7959848198679519,-2.165751583090361,2.165751583090361,0.006123518336643428,1.252573738155261,1.3697667674026501
platen_no_confinement,3,0.001005,core_small,15,0,628.0953310557866,541.1769223687161,6611892.5,-0.004598642700000001,0.0099114329,0.0,-0.9714145306666668,-0.9714145533333335,-2.7645266680000002,2.7645266680000002,0.007816515003757683,1.5691185840000001,1.793112126
platen_no_confinement,3,0.001005,core_medium,45,0,1063.0007034056664,1297.6184131240318,15249990.0,-0.006944257469777779,0.022873243,0.0,-1.6229364387333334,-1.622936437377778,-4.7238147002222215,4.7238147002222215,0.013356271403223841,2.656562525444444,3.100878262166666
platen_no_confinement,3,0.001005,specimen_minus_edges,75,0,1474.5558681305163,2302.272364714761,25430056.0,-0.008436491816,0.038173441,0.0,-2.3260065510693333,-2.3260065766946667,-7.06486178064,7.06486178064,0.019975426081817335,3.9056249694680005,4.738855216758
platen_no_confinement,4,0.001307,core_small,15,0,2422.1688620552,1728.0966087526115,13993691.0,-0.01119161486,0.020980505,0.0,-3.4341684233333334,-3.4341684939999997,-11.284942160000002,11.284942160000002,0.03190742224743756,6.051093025777778,7.850773701333336
platen_no_confinement,4,0.001307,core_medium,45,0,3400.2182942494046,3528.5305989905983,25405022.0,-0.0139034093,0.038125381,0.0,-4.738624666444445,-4.738624636444445,-16.017916997777778,16.017916997777778,0.04528959332942677,8.498388766888889,11.279292346333333
platen_no_confinement,4,0.001307,specimen_minus_edges,67,0,4350.038141632591,5367.289938965461,31807398.0,-0.01525925583402985,0.047800135,0.0,-5.951776041343284,-5.951776154925374,-21.831943291940306,21.831943291940306,0.06172836539359376,11.24516516273632,15.880167193805978
platen_no_confinement,5,0.001508,core_small,15,0,4762.397024130667,2765.6597046113898,17651100.0,-0.015473974373333334,0.02648389,0.0,-5.728258660000001,-5.728258893333333,-21.222703733333333,21.222703733333333,0.0600057811241574,10.893073762222222,15.494444956666667
platen_no_confinement,5,0.001508,core_medium,45,0,5596.598873530265,4655.035431261878,28424386.0,-0.017628131239999997,0.042680077,0.0,-7.264314563999998,-7.264314496444444,-27.832814579999997,27.832814579999997,0.07869542923192939,14.120481213481481,20.568500049777775
platen_no_confinement,5,0.001508,specimen_minus_edges,63,0,6229.257491755689,5729.176166905089,30368034.0,-0.01859693241428571,0.045617662,0.0,-8.624279767142855,-8.62427982952381,-37.009125852380954,37.009125852380954,0.10464083810425809,18.08589514968254,28.38484605404762
platen_lateral_confinement,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,2,0.000804,core_small,15,0,1107.88782976384,281.1561076567598,8319568.0,-0.009788578033333334,0.012474858,0.0,-3.0432433733333335,-3.043243393333334,-2.2197919680000004,2.2197919680000004,0.006276313925249787,2.7687595782222227,0.8234514153333347
platen_lateral_confinement,2,0.000804,core_medium,45,0,1414.0420265927733,457.09801424389036,13329445.0,-0.012240958768888888,0.019991904,0.0,-3.737534624444444,-3.7375345777777778,-3.1282884577777774,3.1282884577777774,0.008845027233537969,3.534452553333333,0.6092461433333364
platen_lateral_confinement,2,0.000804,specimen_minus_edges,91,0,1766.4120285324743,846.0889637144008,19158930.0,-0.014836100159340658,0.028743761,0.0,-4.501904419780217,-4.501904358241757,-4.728886084945053,4.728886084945053,0.013370610405713738,4.577564954322342,0.22698169593407502
platen_lateral_confinement,3,0.001005,core_small,15,0,3408.232076027334,768.2823869977892,16964116.0,-0.01962920486666667,0.025433157,0.0,-9.073473033333334,-9.073472933333333,-7.400529833333333,7.400529833333333,0.020924505141364885,8.515825266666667,1.6729431500000047
