case,part,time,total_count,specimen_count,top_platen_count,bottom_platen_count,measurement_core_small_count,platen_contamination_core_small,top_platen_displacement,top_platen_vz_mean,bottom_platen_displacement,bottom_platen_vmag_max,specimen_axial_strain_proxy,specimen_radial_strain_proxy,velocity_max,specimen_velocity_max,porepress_mean,porepress_std,porepressrate_maxabs,divvel_maxabs,kplastic_max,true_reaction_available,reaction_type,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_no_confinement,0,0.0,555,407,74,74,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,555,407,74,74,15,0,-2.5100000001360145e-06,-0.004999999899999997,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,2,0.000804,555,407,74,74,15,0,-4.0200000001044955e-06,-0.004999999899999997,0.0,0.0,-1.5499996806889182e-06,2.9575563847814004e-07,0.0049999999,0.0015100524000000004,599.1641038707347,909.2831174803615,16646190.0,0.024976412,0.0,0,specimen_stress_proxy,-6.220265630105581,-6.220265607384395,-15.689441648004642,15.689441648004642,0.044360851158267406,9.376657628498206,9.469176029259655
platen_no_confinement,3,0.001005,555,407,74,74,15,0,-5.025000000005719e-06,-0.004999999899999997,0.0,0.0,-4.229975706232514e-06,1.028793365545084e-06,0.0049999999,0.0024368633000000006,1461.9112374391163,2079.307859786343,25430056.0,0.038173441,0.0,0,specimen_stress_proxy,-9.788117227655674,-9.78811731904231,-27.14703232630896,27.14703232630896,0.07675642559078717,15.574422291002314,17.35891505295997
platen_no_confinement,4,0.001307,555,407,74,74,15,0,-6.5350000000991004e-06,-0.004999999899999997,0.0,0.0,-1.0489195740037704e-05,3.3864396205804433e-06,0.0049999999,0.0036384694000000006,3001.7108675841428,4195.761738825874,31807398.0,0.047800135,0.0,0,specimen_stress_proxy,-13.091621519962404,-13.091621505311796,-44.998791925808376,44.998791925808376,0.12723108672108177,23.727344983694195,31.907170413171276
platen_no_confinement,5,0.001508,555,407,74,74,15,0,-7.499999999979745e-06,-0.004596354899999993,0.0,0.0,-1.6076164355421918e-05,5.951181924275184e-06,0.0045963549,0.004274869300000001,4194.341168624555,4529.048518061994,30368034.0,0.045617662,0.0,0,specimen_stress_proxy,-13.4521283062973,-13.45212822631941,-56.91793413783294,56.91793413783294,0.16093166737043127,27.940730223483214,43.46580587152458
platen_lateral_confinement,0,0.0,555,407,74,74,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,1,0.000503,555,407,74,74,15,0,-2.5100000001360145e-06,-0.004999999899999997,0.0,0.0,0.0,0.0,0.0049999999,0.0,0.0,0.0,0.0,0.0,0.0,0,specimen_stress_proxy,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_lateral_confinement,2,0.000804,555,407,74,74,15,0,-4.0200000001044955e-06,-0.004999999899999997,0.0,0.0,-1.5444879164494552e-06,-6.736008912297328e-07,0.0049999999,0.0015063080000000005,1734.556308307376,1067.7281778789581,20776614.0,0.031171799,0.0,0,specimen_stress_proxy,-9.504419367250613,-9.50441934480589,-17.653523120874688,17.653523120874688,0.049914160691865724,12.22078727764373,8.149103764846437
platen_lateral_confinement,3,0.001005,555,407,74,74,15,0,-5.025000000005719e-06,-0.004999999899999997,0.0,0.0,-4.130368580074206e-06,-1.489916542252408e-06,0.0049999999,0.0024198727000000015,4324.1136018019115,2729.3977420441756,32690302.0,0.049062062,0.0,0,specimen_stress_proxy,-18.0960305435172,-18.09603058893956,-32.093443428157244,32.093443428157244,0.09074207349206857,22.761834853538,13.997412861928863
platen_lateral_confinement,4,0.001307,555,407,74,74,15,0,-6.5350000000991004e-06,-0.004999999899999997,0.0,0.0,-1.0352240700089999e-05,-2.2589048684962994e-06,0.0049999999,0.0035802205000000013,9143.012572285747,6326.249829518884,40841084.0,0.061336588,0.0,0,specimen_stress_proxy,-31.045817811280077,-31.04581782785749,-55.58886070453541,55.58886070453541,0.1571738007697153,39.22683211455766,24.54304288496663
platen_lateral_confinement,5,0.001508,555,407,74,74,15,0,-7.499999999979745e-06,-0.004596369300000009,0.0,0.0,-1.5789309509989247e-05,-1.9281970502288214e-06,0.0045963693,0.004178799700000004,12485.602316495526,6988.670388701518,40173304.0,0.060293276,0.0,0,specimen_stress_proxy,-38.00719574680587,-38.00719581019654,-71.28292724098776,71.28292724098776,0.2015477284919966,49.09910626599672,33.275731462486554
