case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
platen_no_confinement,0,0.0,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,0,0.0,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,0,0.0,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,core_small,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,core_medium,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,1,0.000503,specimen_minus_edges,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
platen_no_confinement,2,0.001005,core_small,15,0,628.0953310557866,541.1769223687161,6611892.5,-0.004598642700000001,0.0099114329,0.0,-0.9714145306666668,-0.9714145533333335,-2.7645266680000002,2.7645266680000002,0.007816515003757683,1.5691185840000001,1.793112126
platen_no_confinement,2,0.001005,core_medium,45,0,1063.0007034056664,1297.6184131240318,15249990.0,-0.006944257469777779,0.022873243,0.0,-1.6229364387333334,-1.622936437377778,-4.7238147002222215,4.7238147002222215,0.013356271403223841,2.656562525444444,3.100878262166666
platen_no_confinement,2,0.001005,specimen_minus_edges,75,0,1474.5558681305163,2302.272364714761,25430056.0,-0.008436491816,0.038173441,0.0,-2.3260065510693333,-2.3260065766946667,-7.06486178064,7.06486178064,0.019975426081817335,3.9056249694680005,4.738855216758
platen_no_confinement,3,0.001508,core_small,15,0,4762.397024130667,2765.6597046113898,17651100.0,-0.015473974373333334,0.02648389,0.0,-5.728258660000001,-5.728258893333333,-21.222703733333333,21.222703733333333,0.0600057811241574,10.893073762222222,15.494444956666667
platen_no_confinement,3,0.001508,core_medium,45,0,5596.598873530265,4655.035431261878,28424386.0,-0.017628131239999997,0.042680077,0.0,-7.264314563999998,-7.264314496444444,-27.832814579999997,27.832814579999997,0.07869542923192939,14.120481213481481,20.568500049777775
platen_no_confinement,3,0.001508,specimen_minus_edges,63,0,6229.257491755689,5729.176166905089,30368034.0,-0.01859693241428571,0.045617662,0.0,-8.624279767142855,-8.62427982952381,-37.009125852380954,37.009125852380954,0.10464083810425809,18.08589514968254,28.38484605404762
platen_no_confinement,4,0.002011,core_small,15,0,11198.334934547998,4868.015681353644,17640198.0,-0.020268541999999997,0.026485275,0.0,-10.386546193333334,-10.386546466666667,-60.17146653333334,60.17146653333334,0.17013081349515968,26.98151973111111,49.784920203333336
platen_no_confinement,4,0.002011,core_medium,45,0,12230.213789850892,8083.609228046063,21116858.0,-0.019772274222222223,0.031802446,0.0,-11.307901771111112,-11.307901740000004,-69.53075673333333,69.53075673333333,0.19659358309678113,30.715520081481486,58.22285497777777
platen_no_confinement,4,0.002011,specimen_minus_edges,63,0,12434.868578723175,9207.255565018362,21116858.0,-0.017195995431746026,0.031802446,0.0,-10.240340695238094,-10.24034081746032,-80.78824424920636,80.78824424920636,0.22842337916675207,33.75630858730159,70.54790349285716
platen_no_confinement,5,0.002513,core_small,15,0,16703.418773951336,4326.754684017275,12510515.0,-0.015095288933333333,0.018768257,0.0,-7.194781773333333,-7.194781846666666,-111.16990840000001,111.16990840000001,0.3143255107767212,41.85315734,103.97512659000002
platen_no_confinement,5,0.002513,core_medium,45,0,16037.450314379823,6091.360351767308,12510515.0,-0.01312178959111111,0.018768257,0.0,-6.595172415555557,-6.595172479999998,-119.60633704444443,119.60633704444443,0.3381789508034502,44.265560646666664,113.01116459666666
platen_no_confinement,5,0.002513,specimen_minus_edges,63,0,14176.698104610796,6547.296721399613,12510515.0,-0.010013152758730161,0.018768257,0.0,-2.4890779047619045,-2.489077942857142,-129.1414796984127,129.1414796984127,0.36513893150482385,44.70654518201058,126.65240177460318
platen_no_confinement,6,0.003016,core_small,15,0,20334.759629010667,2514.530162884838,11160572.0,-0.008750398178666664,0.016765349,0.0,5.569897273333333,5.569897268,-164.00320599999998,164.00320599999998,0.46370814042129604,50.95447048622221,169.57310327066665
platen_no_confinement,6,0.003016,core_medium,45,0,19118.922642956888,3982.0175728815275,11160572.0,-0.007575109897333334,0.016765349,0.0,6.686161037777778,6.6861608382222215,-169.37573835555554,169.37573835555554,0.4788986177827442,52.00113882651851,176.06189929355554
platen_no_confinement,6,0.003016,specimen_minus_edges,63,0,16711.917510588,5244.304315487142,11160572.0,-0.0072127516688888895,0.016765349,0.0,11.22070227936508,11.220702370158731,-175.95928393650792,175.95928393650792,0.49751315437126836,51.172626428994704,187.17998626126985
platen_no_confinement,7,0.003519,core_small,15,0,22558.572842164664,1216.252783741835,11146409.0,-0.01205862874666667,0.016747827,0.0,19.69408058133333,19.694081631333333,-216.791486,216.791486,0.612963485800573,59.13444126244445,236.48556710633332
platen_no_confinement,7,0.003519,core_medium,45,0,20806.066684331552,2366.2281750913644,11173375.0,-0.012055729017777779,0.016778802,0.0,19.543357438666664,19.54335807288889,-218.6485651111111,218.6485651111111,0.6182142532839145,59.85394986651852,238.1919228668889
platen_no_confinement,7,0.003519,specimen_minus_edges,63,0,18317.35635963953,4450.050050347278,20967920.0,-0.014396179346031745,0.031496398,0.0,20.844638432380954,20.84463901079365,-222.69446026984122,222.69446026984122,0.6296537523409894,60.335060942222206,243.53909899142852
platen_no_confinement,8,0.004022,core_small,15,0,28939.344451446672,1788.8634797414886,20795606.0,-0.024264238866666666,0.031260554,0.0,24.28255178,24.282553300000004,-273.92314733333325,273.92314733333325,0.7744994525795348,75.11934741777775,298.2056998733333
platen_no_confinement,8,0.004022,core_medium,45,0,27132.207150688435,2727.526444334659,22375932.0,-0.023752945711111112,0.033637766,0.0,22.398796480777783,22.398797345177773,-271.90062911111113,271.90062911111113,0.7687809170297187,75.70101176171852,294.2994260240889
platen_no_confinement,8,0.004022,specimen_minus_edges,63,0,25415.58877289952,3902.4908519739442,31274732.0,-0.02557126831746032,0.047019839,0.0,19.274826919603175,19.274827671158725,-273.21065793650786,273.21065793650786,0.7724849362701902,78.22033444858198,292.4854852318888
