case,step,time,mode,top_mkbound,bottom_mkbound,top_count,bottom_count,top_pairs,bottom_pairs,top_force_x,top_force_y,top_force_z,bottom_force_x,bottom_force_y,bottom_force_z,top_axial_stress,bottom_axial_stress,force_balance_error,reaction_type,true_reaction_available
elastic,0,0.0,0,1,2,74,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,pairwise_fluid_bound_accumulator,1
elastic,1,0.000502713,0,1,2,74,74,2569,0,-8.67362e-19,8.67362e-19,0.433946,0.0,0.0,0.0,153.477,-0.0,1.0,pairwise_fluid_bound_accumulator,1
elastic,2,0.000603255,0,1,2,74,74,2569,2569,-1.75814e-10,-3.16971e-10,0.515213,-6.24327e-12,-5.03289e-12,-7.62699e-05,182.219,0.026975,0.999704,pairwise_fluid_bound_accumulator,1
elastic,3,0.000703797,0,1,2,74,74,2569,2569,-1.43755e-10,-1.14146e-10,0.591745,-1.06947e-11,-1.93363e-12,-0.00038915,209.287,0.137633,0.998686,pairwise_fluid_bound_accumulator,1
elastic,4,0.000804339,0,1,2,74,74,2569,2569,3.43385e-10,3.84501e-10,0.66218,-2.25426e-11,-2.22941e-11,-0.00102458,234.198,0.362372,0.99691,pairwise_fluid_bound_accumulator,1
elastic,50,0.0054291,0,1,2,74,74,2569,2569,-1.82034e-10,6.15742e-10,1.04649,7.56035e-10,-2.13947e-09,-0.867504,370.121,306.817,0.093516,pairwise_fluid_bound_accumulator,1
dp_high_strength,0,0.0,0,1,2,74,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,pairwise_fluid_bound_accumulator,1
dp_high_strength,1,0.000502713,0,1,2,74,74,2569,0,-2.60209e-18,2.85958e-18,0.433946,0.0,0.0,0.0,153.477,-0.0,1.0,pairwise_fluid_bound_accumulator,1
dp_high_strength,2,0.000603255,0,1,2,74,74,2569,2569,-1.75814e-10,-3.16971e-10,0.515213,-6.24327e-12,-5.03289e-12,-7.62699e-05,182.219,0.026975,0.999704,pairwise_fluid_bound_accumulator,1
dp_high_strength,3,0.000703797,0,1,2,74,74,2569,2569,-1.43755e-10,-1.14146e-10,0.591745,-1.06947e-11,-1.93363e-12,-0.00038915,209.287,0.137633,0.998686,pairwise_fluid_bound_accumulator,1
dp_high_strength,4,0.000804339,0,1,2,74,74,2569,2569,3.43385e-10,3.84501e-10,0.66218,-2.25426e-11,-2.22941e-11,-0.00102458,234.198,0.362372,0.99691,pairwise_fluid_bound_accumulator,1
dp_high_strength,50,0.0054291,0,1,2,74,74,2569,2569,-1.82034e-10,6.15742e-10,1.04649,7.56035e-10,-2.13947e-09,-0.867504,370.121,306.817,0.093516,pairwise_fluid_bound_accumulator,1
dp_mild_yield,0,0.0,0,1,2,74,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,pairwise_fluid_bound_accumulator,1
dp_mild_yield,1,0.000502713,0,1,2,74,74,2569,0,-2.11419e-18,4.33681e-18,0.433946,0.0,0.0,0.0,153.477,-0.0,1.0,pairwise_fluid_bound_accumulator,1
dp_mild_yield,2,0.000603255,0,1,2,74,74,2569,2569,-1.75814e-10,-3.16971e-10,0.515213,-6.24327e-12,-5.03289e-12,-7.62699e-05,182.219,0.026975,0.999704,pairwise_fluid_bound_accumulator,1
dp_mild_yield,3,0.000703797,0,1,2,74,74,2569,2569,-1.43755e-10,-1.14146e-10,0.591745,-1.06947e-11,-1.93363e-12,-0.00038915,209.287,0.137633,0.998686,pairwise_fluid_bound_accumulator,1
dp_mild_yield,4,0.000804339,0,1,2,74,74,2569,2569,3.43385e-10,3.84501e-10,0.66218,-2.25426e-11,-2.22941e-11,-0.00102458,234.198,0.362372,0.99691,pairwise_fluid_bound_accumulator,1
dp_mild_yield,50,0.00542903,0,1,2,74,74,2569,2569,6.84205e-10,-2.19092e-09,0.55936,1.72616e-09,-4.47244e-10,-0.426189,197.833,150.733,0.135124,pairwise_fluid_bound_accumulator,1
