case,time,part,specimen_axial_strain_proxy,top_reaction_fz,bottom_reaction_fz,reaction_force_avg_compression,top_axial_stress,bottom_axial_stress,reaction_axial_stress_avg,Fz_proxy,axial_stress_proxy,reaction_over_proxy_force,force_balance_error,p_eff_proxy,q_proxy,kplastic_max,kplastic_nonzero_count
elastic,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,-0.0,0.0,0.0,0
elastic,0.000503,1,0.0,0.433946,0.0,0.216973,153.477,-0.0,76.7385,-0.0,-0.0,nan,1.0,-0.0,0.0,0.0,0
elastic,0.001005,2,-4.130368580074206e-06,0.66218,-0.00102458,0.33160229,234.198,0.362372,117.280186,0.09074207349206857,32.093443428157244,3.65433891070369,0.99691,22.761834853538,13.997412861928863,0.0,0
elastic,0.001508,3,-1.5789309509989247e-05,0.928777,-0.0147913,0.47178414999999996,328.488,5.23136,166.85968,0.2015477284919966,71.28292724098776,2.3408060886120796,0.968648,49.09910626599672,33.275731462486554,0.0,0
elastic,0.002011,4,-3.286903220003912e-05,0.95582,-0.0781018,0.5169609,338.052,27.6229,182.83745000000002,0.30096597662735647,106.44493973938583,1.7176722292436377,0.848921,64.93693479144147,62.26200742191653,0.0,0
elastic,0.002513,5,-5.359551459999112e-05,0.95582,-0.0781018,0.5169609,338.052,27.6229,182.83745000000002,0.37850604787515557,133.86913002113022,1.3657929718748156,0.848921,67.05820411694513,100.21638885627763,0.0,0
elastic,0.003016,6,-7.64962012000936e-05,0.979352,-0.200367,0.5898595,346.375,70.8652,208.6201,0.44505812627851266,157.4071128009828,1.3253538474452484,0.660315,62.6969966206552,142.06517427049138,0.0,0
elastic,0.003519,7,-0.00010027276390003892,0.979352,-0.200367,0.5898595,346.375,70.8652,208.6201,0.5208868200752088,184.2260271253071,1.1324139472656123,0.660315,63.158328996306295,181.6015471935012,0.0,0
elastic,0.004022,8,-0.00012478793029999102,1.10225,-0.444873,0.7735615,389.841,157.342,273.5915,0.6194925874987446,219.1006833538082,1.248701785316467,0.424903,75.58299109474689,215.27653838859197,0.0,0
elastic,0.004524,9,-0.00014879351629998316,1.10225,-0.444873,0.7735615,389.841,157.342,273.5915,0.7377551528413415,260.9275097027028,1.0485341878274335,0.424903,98.40808487046205,243.77913724836117,0.0,0
elastic,0.005027,10,-0.0001707071159999518,1.04649,-0.867504,0.956997,370.121,306.817,338.469,0.857316968891089,303.2138519901722,1.1162697517090368,0.093516,122.66009668134076,270.8306329632471,0.0,0
elastic,0.00553,11,-0.0001916568670000396,1.04649,-0.867504,0.956997,370.121,306.817,338.469,0.9594586561166246,339.33908402948396,0.9974343280964413,0.093516,139.31081785533988,300.04239926121613,0.0,0
elastic,0.006032,12,-0.00020927541300008734,1.04649,-0.867504,0.956997,370.121,306.817,338.469,1.038537859175914,367.30763083538096,0.9214849430326814,0.093516,145.66138292649472,332.46937186332934,0.0,0
dp_high_strength,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,nan,0.0,-0.0,0.0,0.0,0
dp_high_strength,0.000503,1,0.0,0.433946,0.0,0.216973,153.477,-0.0,76.7385,-0.0,-0.0,nan,1.0,-0.0,0.0,0.0,0
