case,step,time,mode,top_mkbound,bottom_mkbound,top_count,bottom_count,top_pairs,bottom_pairs,top_force_x,top_force_y,top_force_z,bottom_force_x,bottom_force_y,bottom_force_z,top_axial_stress,bottom_axial_stress,force_balance_error,reaction_type,true_reaction_available
dp_high_strength,0,0.0,0,1,2,74,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,pairwise_fluid_bound_accumulator,1
dp_high_strength,1,0.000502713,0,1,2,74,74,2569,0,2.1684e-19,2.92735e-18,0.433946,0.0,0.0,0.0,153.477,-0.0,1.0,pairwise_fluid_bound_accumulator,1
dp_high_strength,2,0.000603255,0,1,2,74,74,2569,2569,-1.75814e-10,-3.16971e-10,0.515213,-6.24327e-12,-5.03289e-12,-7.62699e-05,182.219,0.026975,0.999704,pairwise_fluid_bound_accumulator,1
dp_high_strength,3,0.000703797,0,1,2,74,74,2569,2569,-1.43755e-10,-1.14146e-10,0.591745,-1.06947e-11,-1.93363e-12,-0.00038915,209.287,0.137633,0.998686,pairwise_fluid_bound_accumulator,1
dp_high_strength,4,0.000804339,0,1,2,74,74,2569,2569,3.43385e-10,3.84501e-10,0.66218,-2.25426e-11,-2.22941e-11,-0.00102458,234.198,0.362372,0.99691,pairwise_fluid_bound_accumulator,1
dp_high_strength,10,0.00140758,0,1,2,74,74,2569,2569,-2.94448e-09,-1.29185e-09,0.928777,1.92304e-11,-7.15778e-11,-0.0147913,328.488,5.23136,0.968648,pairwise_fluid_bound_accumulator,1
dp_high_strength,20,0.00241294,0,1,2,74,74,2569,2569,-2.15218e-09,-1.17472e-09,0.95582,-3.85629e-10,-9.19092e-11,-0.0781018,338.052,27.6229,0.848921,pairwise_fluid_bound_accumulator,1
dp_high_strength,30,0.00341832,0,1,2,74,74,2569,2569,-1.74508e-09,2.3165e-09,0.979352,2.08469e-10,-3.79091e-10,-0.200367,346.375,70.8652,0.660315,pairwise_fluid_bound_accumulator,1
dp_high_strength,40,0.00442371,0,1,2,74,74,2569,2569,-5.05345e-10,2.05687e-09,1.10225,6.13771e-10,3.53785e-10,-0.444873,389.841,157.342,0.424903,pairwise_fluid_bound_accumulator,1
dp_high_strength,50,0.0054291,0,1,2,74,74,2569,2569,-1.82034e-10,6.15742e-10,1.04649,7.56035e-10,-2.13947e-09,-0.867504,370.121,306.817,0.093516,pairwise_fluid_bound_accumulator,1
dp_high_strength,60,0.00643449,0,1,2,74,74,2569,2569,2.89346e-09,4.08362e-09,0.96989,5.79421e-11,-4.56121e-09,-1.37564,343.028,486.534,0.172989,pairwise_fluid_bound_accumulator,1
dp_high_strength,70,0.00743988,0,1,2,74,74,2569,2569,3.34121e-09,-2.17835e-09,1.07778,-5.44644e-09,-2.11839e-10,-1.78112,381.188,629.944,0.246017,pairwise_fluid_bound_accumulator,1
dp_high_strength,80,0.00844526,0,1,2,74,74,2569,2569,1.17306e-09,-7.72725e-09,1.28167,2.72559e-09,1.61439e-08,-2.01052,453.3,711.075,0.221385,pairwise_fluid_bound_accumulator,1
dp_high_strength,90,0.00945066,0,1,2,74,74,2569,2569,-1.76911e-09,-1.39316e-08,1.51402,1.72952e-08,3.24678e-08,-2.0823,535.475,736.462,0.158016,pairwise_fluid_bound_accumulator,1
dp_high_strength,100,0.0104561,0,1,2,74,74,2569,2569,-1.0058e-08,-1.4563e-08,1.82257,1.76644e-08,3.40028e-08,-2.04577,644.604,723.545,0.0576989,pairwise_fluid_bound_accumulator,1
dp_high_strength,110,0.0114614,0,1,2,74,74,2569,2569,-1.26078e-08,-1.29445e-08,2.22569,1.26912e-08,1.96067e-08,-2.00401,787.176,708.774,0.0524095,pairwise_fluid_bound_accumulator,1
dp_high_strength,120,0.0124668,0,1,2,74,74,2569,2569,-2.3285e-08,-1.54724e-08,2.59858,-4.05822e-10,7.92217e-11,-2.09171,919.06,739.79,0.108068,pairwise_fluid_bound_accumulator,1
dp_high_strength,130,0.0134722,0,1,2,74,74,2569,2569,-1.81121e-08,-1.84204e-08,2.83567,-5.74482e-09,1.01157e-09,-2.27552,1002.91,804.8,0.109593,pairwise_fluid_bound_accumulator,1
dp_high_strength,140,0.0144776,0,1,2,74,74,2569,2569,-1.64832e-09,-3.84562e-09,2.96219,-8.89071e-09,-4.37957e-09,-2.50461,1047.66,885.825,0.0837016,pairwise_fluid_bound_accumulator,1
dp_high_strength,150,0.015483,0,1,2,74,74,2569,2569,5.89191e-09,9.88358e-09,3.02881,-9.27812e-09,-7.53514e-09,-2.80632,1071.22,992.534,0.0381293,pairwise_fluid_bound_accumulator,1
dp_high_strength,160,0.0164884,0,1,2,74,74,2569,2569,3.51667e-09,-1.11603e-09,3.05566,-1.62105e-08,-2.59259e-09,-3.14233,1080.72,1111.37,0.0139841,pairwise_fluid_bound_accumulator,1
dp_high_strength,170,0.0174938,0,1,2,74,74,2569,2569,7.1651e-09,-2.175e-09,3.10807,-1.73501e-08,-3.0679e-09,-3.43994,1099.25,1216.63,0.0506831,pairwise_fluid_bound_accumulator,1
dp_mild_yield,0,0.0,0,1,2,74,74,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,pairwise_fluid_bound_accumulator,1
dp_mild_yield,1,0.000502713,0,1,2,74,74,2569,0,3.25261e-18,4.33681e-18,0.433946,0.0,0.0,0.0,153.477,-0.0,1.0,pairwise_fluid_bound_accumulator,1
dp_mild_yield,2,0.000603255,0,1,2,74,74,2569,2569,-1.75814e-10,-3.16971e-10,0.515213,-6.24327e-12,-5.03289e-12,-7.62699e-05,182.219,0.026975,0.999704,pairwise_fluid_bound_accumulator,1
dp_mild_yield,3,0.000703797,0,1,2,74,74,2569,2569,-1.43755e-10,-1.14146e-10,0.591745,-1.06947e-11,-1.93363e-12,-0.00038915,209.287,0.137633,0.998686,pairwise_fluid_bound_accumulator,1
dp_mild_yield,4,0.000804339,0,1,2,74,74,2569,2569,3.43385e-10,3.84501e-10,0.66218,-2.25426e-11,-2.22941e-11,-0.00102458,234.198,0.362372,0.99691,pairwise_fluid_bound_accumulator,1
dp_mild_yield,10,0.00140758,0,1,2,74,74,2569,2569,-1.15283e-09,-1.50819e-09,0.916065,1.92304e-11,-7.15778e-11,-0.0147913,323.992,5.23136,0.96822,pairwise_fluid_bound_accumulator,1
dp_mild_yield,20,0.00241294,0,1,2,74,74,2569,2569,-1.43705e-09,-2.49166e-09,0.553189,-4.21098e-10,-1.63137e-10,-0.0779902,195.651,27.5834,0.752875,pairwise_fluid_bound_accumulator,1
