step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
0,drained_like_triaxial_strain_control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,100.0,0.0,160.0,0.8,0.0,0.0,0.0,-8640.0,initial,0,0,0.0,0.0,0.375
1,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,102.01923076923077,100.86538461538461,100.86538461538461,0.0,0.0,0.0,-102.01923076923077,-100.86538461538461,-100.86538461538461,101.25,1.1538461538461604,160.0,0.7994600000000001,0.0,0.0,0.0,-8564.418639053252,elastic,0,0,-8564.418639053252,0.0,0.367109477187592
2,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,104.03846153846155,101.73076923076923,101.73076923076923,0.0,0.0,0.0,-104.03846153846155,-101.73076923076923,-101.73076923076923,102.5,2.307692307692321,160.0,0.798920162,0.0,0.0,0.0,-8481.674556213018,elastic,0,0,-8481.674556213018,0.0,0.35906852798744693
3,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,106.05769230769232,102.59615384615384,102.59615384615384,0.0,0.0,0.0,-106.05769230769232,-102.59615384615384,-102.59615384615384,103.75,3.461538461538481,160.0,0.7983804859514001,0.0,0.0,0.0,-8391.76775147929,elastic,0,0,-8391.76775147929,0.0,0.3508853478931793
4,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,108.0769230769231,103.46153846153845,103.46153846153845,0.0,0.0,0.0,-108.0769230769231,-103.46153846153845,-103.46153846153845,105.0,4.615384615384642,160.0,0.7978409718056146,0.0,0.0,0.0,-8294.69822485207,elastic,0,0,-8294.69822485207,0.0,0.34256782911637396
5,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,110.09615384615387,104.32692307692307,104.32692307692307,0.0,0.0,0.0,-110.09615384615387,-104.32692307692307,-104.32692307692307,106.25,5.769230769230802,160.0,0.797301619514073,0.0,0.0,0.0,-8190.46597633136,elastic,0,0,-8190.46597633136,0.0,0.3341235702414703
6,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,112.11538461538464,105.19230769230768,105.19230769230768,0.0,0.0,0.0,-112.11538461538464,-105.19230769230768,-105.19230769230768,107.5,6.923076923076962,160.0,0.7967624290282187,0.0,0.0,0.0,-8079.071005917158,elastic,0,0,-8079.071005917158,0.0,0.32555988566229166
7,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,114.13461538461542,106.05769230769229,106.05769230769229,0.0,0.0,0.0,-114.13461538461542,-106.05769230769229,-106.05769230769229,108.75,8.076923076923123,160.0,0.7962234002995102,0.0,0.0,0.0,-7960.513313609466,elastic,0,0,-7960.513313609466,0.0,0.316883814797306
8,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,116.15384615384619,106.9230769230769,106.9230769230769,0.0,0.0,0.0,-116.15384615384619,-106.9230769230769,-106.9230769230769,110.0,9.230769230769283,160.0,0.7956845332794203,0.0,0.0,0.0,-7834.792899408283,elastic,0,0,-7834.792899408283,0.0,0.3081021310816244
9,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,118.17307692307696,107.78846153846152,107.78846153846152,0.0,0.0,0.0,-118.17307692307696,-107.78846153846152,-107.78846153846152,111.25,10.384615384615444,160.0,0.7951458279194366,0.0,0.0,0.0,-7701.909763313607,elastic,0,0,-7701.909763313607,0.0,0.2992213507345805
10,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,120.19230769230774,108.65384615384613,108.65384615384613,0.0,0.0,0.0,-120.19230769230774,-108.65384615384613,-108.65384615384613,112.5,11.538461538461604,160.0,0.7946072841710607,0.0,0.0,0.0,-7561.863905325442,elastic,0,0,-7561.863905325442,0.0,0.2902477413024814
11,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,122.21153846153851,109.51923076923075,109.51923076923075,0.0,0.0,0.0,-122.21153846153851,-109.51923076923075,-109.51923076923075,113.75,12.692307692307764,160.0,0.7940689019858094,0.0,0.0,0.0,-7414.655325443784,elastic,0,0,-7414.655325443784,0.0,0.28118732997679496
12,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,124.23076923076928,110.38461538461536,110.38461538461536,0.0,0.0,0.0,-124.23076923076928,-110.38461538461536,-110.38461538461536,115.0,13.846153846153925,160.0,0.7935306813152136,0.0,0.0,0.0,-7260.284023668637,elastic,0,0,-7260.284023668637,0.0,0.2720459116886433
13,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,126.25000000000006,111.24999999999997,111.24999999999997,0.0,0.0,0.0,-126.25000000000006,-111.24999999999997,-111.24999999999997,116.25,15.000000000000085,160.0,0.7929926221108191,0.0,0.0,0.0,-7098.749999999997,elastic,0,0,-7098.749999999997,0.0,0.26282905698100617
14,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,128.26923076923083,112.11538461538458,112.11538461538458,0.0,0.0,0.0,-128.26923076923083,-112.11538461538458,-112.11538461538458,117.5,16.153846153846246,160.0,0.7924547243241858,0.0,0.0,0.0,-6930.053254437866,elastic,0,0,-6930.053254437866,0.0,0.25354211966051743
15,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,130.2884615384616,112.9807692307692,112.9807692307692,0.0,0.0,0.0,-130.2884615384616,-112.9807692307692,-112.9807692307692,118.75,17.307692307692406,160.0,0.7919169879068886,0.0,0.0,0.0,-6754.193786982245,elastic,0,0,-6754.193786982245,0.0,0.24419024423115787
16,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,132.30769230769238,113.84615384615381,113.84615384615381,0.0,0.0,0.0,-132.30769230769238,-113.84615384615381,-113.84615384615381,120.0,18.461538461538566,160.0,0.7913794128105165,0.0,0.0,0.0,-6571.171597633132,elastic,0,0,-6571.171597633132,0.0,0.2347783731125181
17,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,134.32692307692315,114.71153846153842,114.71153846153842,0.0,0.0,0.0,-134.32692307692315,-114.71153846153842,-114.71153846153842,121.25,19.615384615384727,160.0,0.7908419989866733,0.0,0.0,0.0,-6380.986686390528,elastic,0,0,-6380.986686390528,0.0,0.22531125364563043
18,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,136.34615384615392,115.57692307692304,115.57692307692304,0.0,0.0,0.0,-136.34615384615392,-115.57692307692304,-115.57692307692304,122.5,20.769230769230887,160.0,0.7903047463869773,0.0,0.0,0.0,-6183.639053254433,elastic,0,0,-6183.639053254433,0.0,0.21579344488964528
19,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,138.3653846153847,116.44230769230765,116.44230769230765,0.0,0.0,0.0,-138.3653846153847,-116.44230769230765,-116.44230769230765,123.75,21.923076923077048,160.0,0.7897676549630612,0.0,0.0,0.0,-5979.128698224847,elastic,0,0,-5979.128698224847,0.0,0.20622932421287335
20,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,140.38461538461547,117.30769230769226,117.30769230769226,0.0,0.0,0.0,-140.38461538461547,-117.30769230769226,-117.30769230769226,125.0,23.076923076923208,160.0,0.7892307246665723,0.0,0.0,0.0,-5767.4556213017695,elastic,0,0,-5767.4556213017695,0.0,0.19662309368191697
21,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,142.40384615384625,118.17307692307688,118.17307692307688,0.0,0.0,0.0,-142.40384615384625,-118.17307692307688,-118.17307692307688,126.25,24.23076923076937,160.0,0.7886939554491723,0.0,0.0,0.0,-5548.6198224852,elastic,0,0,-5548.6198224852,0.0,0.18697878625278808
22,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,144.42307692307702,119.03846153846149,119.03846153846149,0.0,0.0,0.0,-144.42307692307702,-119.03846153846149,-119.03846153846149,127.5,25.38461538461553,160.0,0.7881573472625376,0.0,0.0,0.0,-5322.621301775141,elastic,0,0,-5322.621301775141,0.0,0.17730027176805313
23,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,146.4423076923078,119.9038461538461,119.9038461538461,0.0,0.0,0.0,-146.4423076923078,-119.9038461538461,-119.9038461538461,128.75,26.53846153846169,160.0,0.7876209000583588,0.0,0.0,0.0,-5089.46005917159,elastic,0,0,-5089.46005917159,0.0,0.16759126276416061
24,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,148.46153846153857,120.76923076923072,120.76923076923072,0.0,0.0,0.0,-148.46153846153857,-120.76923076923072,-120.76923076923072,130.0,27.69230769230785,160.0,0.7870846137883413,0.0,0.0,0.0,-4849.136094674547,elastic,0,0,-4849.136094674547,0.0,0.1578553200931984
25,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,150.48076923076934,121.63461538461533,121.63461538461533,0.0,0.0,0.0,-150.48076923076934,-121.63461538461533,-121.63461538461533,131.25,28.84615384615401,160.0,0.7865484884042048,0.0,0.0,0.0,-4601.6494082840145,elastic,0,0,-4601.6494082840145,0.0,0.14809585836339764
26,drained_like_triaxial_strain_control,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,152.5000000000001,122.49999999999994,122.49999999999994,0.0,0.0,0.0,-152.5000000000001,-122.49999999999994,-122.49999999999994,132.5,30.00000000000017,160.0,0.7860125238576835,0.0,0.0,0.0,-4346.999999999989,elastic,0,0,-4346.999999999989,0.0,0.13831615120274876
