step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
0,isotropic_compression_swelling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,100.0,0.0,160.0,0.8,0.0,0.0,0.0,-8640.0,initial,0,0,0.0,0.0,0.375
1,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,101.875,101.875,101.875,0.0,0.0,0.0,-101.875,-101.875,-101.875,101.875,0.0,160.0,0.7991900000000001,0.0,0.0,0.0,-8526.9375,elastic,0,0,-8526.9375,0.0,0.36328125
2,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,103.75,103.75,103.75,0.0,0.0,0.0,-103.75,-103.75,-103.75,103.75,0.0,160.0,0.7983803645,0.0,0.0,0.0,-8403.75,elastic,0,0,-8403.75,0.0,0.3515625
3,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,105.625,105.625,105.625,0.0,0.0,0.0,-105.625,-105.625,-105.625,105.625,0.0,160.0,0.7975710933359751,0.0,0.0,0.0,-8270.4375,elastic,0,0,-8270.4375,0.0,0.33984375
4,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,107.5,107.5,107.5,0.0,0.0,0.0,-107.5,-107.5,-107.5,107.5,0.0,160.0,0.7967621863439739,0.0,0.0,0.0,-8126.999999999999,elastic,0,0,-8126.999999999999,0.0,0.328125
5,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,109.375,109.375,109.375,0.0,0.0,0.0,-109.375,-109.375,-109.375,109.375,0.0,160.0,0.7959536433601191,0.0,0.0,0.0,-7973.4375,elastic,0,0,-7973.4375,0.0,0.31640625
6,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,111.25,111.25,111.25,0.0,0.0,0.0,-111.25,-111.25,-111.25,111.25,0.0,160.0,0.7951454642206071,0.0,0.0,0.0,-7809.749999999999,elastic,0,0,-7809.749999999999,0.0,0.30468749999999994
7,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,113.125,113.125,113.125,0.0,0.0,0.0,-113.125,-113.125,-113.125,113.125,0.0,160.0,0.7943376487617078,0.0,0.0,0.0,-7635.9375,elastic,0,0,-7635.9375,0.0,0.29296875
8,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,115.0,115.0,115.0,0.0,0.0,0.0,-115.0,-115.0,-115.0,115.0,0.0,160.0,0.793530196819765,0.0,0.0,0.0,-7452.0,elastic,0,0,-7452.0,0.0,0.28125
9,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,116.875,116.875,116.875,0.0,0.0,0.0,-116.875,-116.875,-116.875,116.875,0.0,160.0,0.7927231082311961,0.0,0.0,0.0,-7257.937499999999,elastic,0,0,-7257.937499999999,0.0,0.26953125
