path,step,yield_flag,return_status,iterations,residual,yield_f,plastic_multiplier
isotropic,0,0,initial,0,0.0,-8640.0,0.0
isotropic,1,0,elastic,0,-8526.9375,-8526.9375,0.0
isotropic,2,0,elastic,0,-8403.75,-8403.75,0.0
isotropic,3,0,elastic,0,-8270.4375,-8270.4375,0.0
isotropic,4,0,elastic,0,-8126.999999999999,-8126.999999999999,0.0
isotropic,5,0,elastic,0,-7973.4375,-7973.4375,0.0
isotropic,6,0,elastic,0,-7809.749999999999,-7809.749999999999,0.0
isotropic,7,0,elastic,0,-7635.9375,-7635.9375,0.0
isotropic,8,0,elastic,0,-7452.0,-7452.0,0.0
isotropic,9,0,elastic,0,-7257.937499999999,-7257.937499999999,0.0
isotropic,10,0,elastic,0,-7053.75,-7053.75,0.0
isotropic,11,0,elastic,0,-6839.4375,-6839.4375,0.0
isotropic,12,0,elastic,0,-6615.0,-6615.0,0.0
isotropic,13,0,elastic,0,-6380.4375,-6380.4375,0.0
isotropic,14,0,elastic,0,-6135.749999999999,-6135.749999999999,0.0
isotropic,15,0,elastic,0,-5880.9375,-5880.9375,0.0
isotropic,16,0,elastic,0,-5616.0,-5616.0,0.0
isotropic,17,0,elastic,0,-5340.9375,-5340.9375,0.0
isotropic,18,0,elastic,0,-5055.75,-5055.75,0.0
isotropic,19,0,elastic,0,-4760.4375,-4760.4375,0.0
isotropic,20,0,elastic,0,-4455.0,-4455.0,0.0
isotropic,21,0,elastic,0,-4139.4375,-4139.4375,0.0
isotropic,22,0,elastic,0,-3813.75,-3813.75,0.0
isotropic,23,0,elastic,0,-3477.9375,-3477.9375,0.0
isotropic,24,0,elastic,0,-3131.9999999999995,-3131.9999999999995,0.0
isotropic,25,0,elastic,0,-2775.9375,-2775.9375,0.0
isotropic,26,0,elastic,0,-2409.75,-2409.75,0.0
isotropic,27,0,elastic,0,-2033.4375,-2033.4375,0.0
isotropic,28,0,elastic,0,-1647.0,-1647.0,0.0
isotropic,29,0,elastic,0,-1250.4375,-1250.4375,0.0
isotropic,30,0,elastic,0,-843.75,-843.75,0.0
isotropic,31,0,elastic,0,-426.9375,-426.9375,0.0
isotropic,32,0,elastic,0,0.0,0.0,0.0
isotropic,33,1,plastic_converged,3,-1.1807590110035976e-06,-1.1807590110035976e-06,1.3643130380340584e-06
isotropic,34,1,plastic_converged,3,-1.2103449953712856e-06,-1.2103449953712856e-06,1.3583162379682536e-06
isotropic,35,1,plastic_converged,3,-1.2406007586004121e-06,-1.2406007586004121e-06,1.352351524248851e-06
isotropic,36,1,plastic_converged,3,-1.2713393497013097e-06,-1.2713393497013097e-06,1.3464187027740081e-06
isotropic,37,1,plastic_converged,3,-1.302750978634696e-06,-1.302750978634696e-06,1.3405175842723725e-06
isotropic,38,1,plastic_converged,3,-1.3352758761835786e-06,-1.3352758761835786e-06,1.334647980670627e-06
isotropic,39,1,plastic_converged,3,-1.3683202837135313e-06,-1.3683202837135313e-06,1.3288097050762527e-06
isotropic,40,1,plastic_converged,3,-1.402090095109596e-06,-1.402090095109596e-06,1.3230025717818997e-06
isotropic,41,1,plastic_converged,3,-1.4368345581701807e-06,-1.4368345581701807e-06,1.3172263962364144e-06
isotropic,42,1,plastic_converged,3,-1.4723452684089417e-06,-1.4723452684089417e-06,1.3114809950567165e-06
isotropic,43,1,plastic_converged,3,-1.508635368737951e-06,-1.508635368737951e-06,1.3057661860190127e-06
isotropic,44,1,plastic_converged,3,-1.5457249462961184e-06,-1.5457249462961184e-06,1.3000817880339047e-06
isotropic,45,1,plastic_converged,3,-1.5836274496071984e-06,-1.5836274496071984e-06,1.2944276211615793e-06
isotropic,46,1,plastic_converged,3,-1.6226107863295207e-06,-1.6226107863295207e-06,1.2888035065848092e-06
isotropic,47,1,plastic_converged,3,-1.6624429482380126e-06,-1.6624429482380126e-06,1.2832092666184802e-06
isotropic,48,1,plastic_converged,3,-1.703151659955504e-06,-1.703151659955504e-06,1.2776447246923409e-06
isotropic,49,1,plastic_converged,3,-1.7447510658880059e-06,-1.7447510658880059e-06,1.272109705336984e-06
isotropic,50,1,plastic_converged,3,-1.7875132805878025e-06,-1.7875132805878025e-06,1.2666040341962492e-06
isotropic,51,1,plastic_converged,3,-1.8312105910290315e-06,-1.8312105910290315e-06,1.2611275380045232e-06
isotropic,52,1,plastic_converged,3,-1.8755910248419164e-06,-1.8755840082504758e-06,1.2556800445839707e-06
isotropic,53,1,plastic_converged,3,-1.9211946746423414e-06,-1.9212017151575717e-06,1.2502613828374587e-06
isotropic,54,1,plastic_converged,3,-1.9680744231871468e-06,-1.968067358699489e-06,1.2448713827401347e-06
isotropic,55,1,plastic_converged,3,-2.0159718741617254e-06,-2.0159789626704244e-06,1.2395098753393319e-06
isotropic,56,1,plastic_converged,3,-2.0649024037392716e-06,-2.0649024037392716e-06,1.2341766927357338e-06
isotropic,57,1,plastic_converged,3,-2.11488865066524e-06,-2.11488865066524e-06,1.2288716680891576e-06
isotropic,58,1,plastic_converged,3,-2.1659534766811004e-06,-2.1659534766811004e-06,1.223594635602103e-06
isotropic,59,1,plastic_converged,3,-2.2181199674620045e-06,-2.2181199674620045e-06,1.2183454305138397e-06
isotropic,60,1,plastic_converged,3,-2.271714225929763e-06,-2.2717214352720684e-06,1.2131238891048083e-06
isotropic,61,1,plastic_converged,3,-2.326451804630464e-06,-2.3264445709759255e-06,1.2079298486690137e-06
isotropic,62,1,plastic_converged,3,-2.3823636576896873e-06,-2.3823636576896873e-06,1.2027631475310735e-06
isotropic,63,1,plastic_converged,3,-2.4397942084908565e-06,-2.439786926066535e-06,1.1976236250247044e-06
isotropic,64,1,plastic_converged,3,-2.498456714815741e-06,-2.4984640216975614e-06,1.192511121485124e-06
isotropic,65,1,plastic_converged,3,-2.5583683800153732e-06,-2.5583683800153732e-06,1.1874254782533443e-06
isotropic,66,1,plastic_converged,3,-2.6195465399632328e-06,-2.6195391840213274e-06,1.1823665376586854e-06
isotropic,67,1,plastic_converged,3,-2.682030805131139e-06,-2.6820381856755785e-06,1.1773341430235924e-06
isotropic,68,1,plastic_converged,3,-2.746557303562763e-06,-2.746557303562763e-06,1.172328138642711e-06
isotropic,69,1,plastic_converged,3,-2.81208127672564e-06,-2.81208127672564e-06,1.1673483697866628e-06
isotropic,70,1,plastic_converged,3,-2.8789900753427074e-06,-2.8789900753427074e-06,1.1623946827009128e-06
isotropic,71,1,plastic_converged,3,-2.947691090107255e-06,-2.947698569544487e-06,1.1574669245814132e-06
isotropic,72,1,plastic_converged,3,-3.017839083723047e-06,-3.0178315794420873e-06,1.1525649435874383e-06
isotropic,73,1,plastic_converged,3,-3.089460551078947e-06,-3.0894680802517895e-06,1.14768858882658e-06
isotropic,74,1,plastic_converged,3,-3.1629901475401868e-06,-3.1629825934273327e-06,1.142837710337227e-06
isotropic,75,1,plastic_converged,3,-3.2376479299434903e-06,-3.237640350842524e-06,1.1380121591143138e-06
isotropic,76,1,plastic_converged,3,-3.3146966124514607e-06,-3.3147042165886094e-06,1.133211787069411e-06
isotropic,77,1,plastic_converged,3,-3.392943622249205e-06,-3.392943622249205e-06,1.1284364470413401e-06
isotropic,78,1,plastic_converged,3,-3.472818506746883e-06,-3.472818506746883e-06,1.123685992791381e-06
isotropic,79,1,plastic_converged,3,-3.5547870979328183e-06,-3.5547870979328183e-06,1.11896027898681e-06
isotropic,80,1,plastic_converged,3,-3.6384582908788963e-06,-3.6384505861168805e-06,1.114259161207936e-06
isotropic,81,1,plastic_converged,3,-3.7243169059576536e-06,-3.7243323660338923e-06,1.1095824959356246e-06
isotropic,82,1,plastic_converged,3,-3.81196987550006e-06,-3.81196987550006e-06,1.1049301405386406e-06
isotropic,83,1,plastic_converged,3,-3.901423412813108e-06,-3.901415632079128e-06,1.1003019532798257e-06
isotropic,84,1,plastic_converged,3,-3.993214494329556e-06,-3.993214494329556e-06,1.095697793315331e-06
isotropic,85,1,plastic_converged,3,-4.086892351888497e-06,-4.086892351888497e-06,1.0911175206632228e-06
isotropic,86,1,plastic_converged,3,-4.182503015543984e-06,-4.182510872680428e-06,1.0865609962212893e-06
isotropic,87,1,plastic_converged,3,-4.280077206836055e-06,-4.2800693241365985e-06,1.0820280817556676e-06
isotropic,88,1,plastic_converged,3,-4.380167849618278e-06,-4.380175757928455e-06,1.077518639886398e-06
isotropic,89,1,plastic_converged,3,-4.482311414342618e-06,-4.482295546405469e-06,1.0730325340981574e-06
isotropic,90,1,plastic_converged,3,-4.5865475871930185e-06,-4.5865475871930185e-06,1.0685696287173956e-06
isotropic,91,0,elastic,0,-347.82019637285384,-347.82019637285384,0.0
isotropic,92,0,elastic,0,-691.14038815916,-691.14038815916,0.0
isotropic,93,0,elastic,0,-1029.9605799454662,-1029.9605799454662,0.0
isotropic,94,0,elastic,0,-1364.2807717317726,-1364.2807717317726,0.0
isotropic,95,0,elastic,0,-1694.1009635180787,-1694.1009635180787,0.0
isotropic,96,0,elastic,0,-2019.421155304385,-2019.421155304385,0.0
isotropic,97,0,elastic,0,-2340.2413470906913,-2340.2413470906913,0.0
isotropic,98,0,elastic,0,-2656.561538876997,-2656.561538876997,0.0
isotropic,99,0,elastic,0,-2968.381730663304,-2968.381730663304,0.0
isotropic,100,0,elastic,0,-3275.70192244961,-3275.70192244961,0.0
isotropic,101,0,elastic,0,-3578.522114235916,-3578.522114235916,0.0
isotropic,102,0,elastic,0,-3876.842306022222,-3876.842306022222,0.0
isotropic,103,0,elastic,0,-4170.662497808528,-4170.662497808528,0.0
isotropic,104,0,elastic,0,-4459.9826895948345,-4459.9826895948345,0.0
isotropic,105,0,elastic,0,-4744.802881381142,-4744.802881381142,0.0
isotropic,106,0,elastic,0,-5025.123073167447,-5025.123073167447,0.0
isotropic,107,0,elastic,0,-5300.943264953753,-5300.943264953753,0.0
isotropic,108,0,elastic,0,-5572.26345674006,-5572.26345674006,0.0
isotropic,109,0,elastic,0,-5839.083648526366,-5839.083648526366,0.0
isotropic,110,0,elastic,0,-6101.403840312678,-6101.403840312678,0.0
isotropic,111,0,elastic,0,-6359.224032098984,-6359.224032098984,0.0
isotropic,112,0,elastic,0,-6612.54422388529,-6612.54422388529,0.0
isotropic,113,0,elastic,0,-6861.364415671596,-6861.364415671596,0.0
isotropic,114,0,elastic,0,-7105.6846074579025,-7105.6846074579025,0.0
isotropic,115,0,elastic,0,-7345.504799244209,-7345.504799244209,0.0
isotropic,116,0,elastic,0,-7580.824991030514,-7580.824991030514,0.0
isotropic,117,0,elastic,0,-7811.645182816821,-7811.645182816821,0.0
isotropic,118,0,elastic,0,-8037.965374603126,-8037.965374603126,0.0
isotropic,119,0,elastic,0,-8259.785566389433,-8259.785566389433,0.0
isotropic,120,0,elastic,0,-8477.10575817574,-8477.10575817574,0.0
isotropic,121,0,elastic,0,-8689.925949962046,-8689.925949962046,0.0
isotropic,122,0,elastic,0,-8898.246141748352,-8898.246141748352,0.0
isotropic,123,0,elastic,0,-9102.066333534658,-9102.066333534658,0.0
