step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
0,undrained_like_zero_volumetric_strain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,100.0,0.0,160.0,0.8,0.0,0.0,0.0,-8640.0,initial,0,0,0.0,0.0,0.375
1,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,101.15384615384616,99.42307692307692,99.42307692307692,0.0,0.0,0.0,-101.15384615384616,-99.42307692307692,-99.42307692307692,100.0,1.7307692307692406,160.0,0.8,0.0,0.0,0.0,-8637.004437869822,elastic,0,0,-8637.004437869822,0.0,0.37482125162859625
2,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,102.30769230769232,98.84615384615384,98.84615384615384,0.0,0.0,0.0,-102.30769230769232,-98.84615384615384,-98.84615384615384,100.0,3.461538461538481,160.0,0.8,0.0,0.0,0.0,-8628.01775147929,elastic,0,0,-8628.01775147929,0.0,0.37428528525059773
3,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,103.46153846153848,98.26923076923076,98.26923076923076,0.0,0.0,0.0,-103.46153846153848,-98.26923076923076,-98.26923076923076,100.0,5.192307692307722,160.0,0.8,0.0,0.0,0.0,-8613.039940828403,elastic,0,0,-8613.039940828403,0.0,0.37339293598871054
4,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,104.61538461538464,97.69230769230768,97.69230769230768,0.0,0.0,0.0,-104.61538461538464,-97.69230769230768,-97.69230769230768,100.0,6.923076923076962,160.0,0.8,0.0,0.0,0.0,-8592.07100591716,elastic,0,0,-8592.07100591716,0.0,0.37214559210222814
5,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,105.7692307692308,97.1153846153846,97.1153846153846,0.0,0.0,0.0,-105.7692307692308,-97.1153846153846,-97.1153846153846,100.0,8.653846153846203,160.0,0.8,0.0,0.0,0.0,-8565.11094674556,elastic,0,0,-8565.11094674556,0.0,0.37054518959673066
6,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,106.92307692307696,96.53846153846152,96.53846153846152,0.0,0.0,0.0,-106.92307692307696,-96.53846153846152,-96.53846153846152,100.0,10.384615384615444,160.0,0.8,0.0,0.0,0.0,-8532.159763313608,elastic,0,0,-8532.159763313608,0.0,0.36859420473238
7,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,108.07692307692312,95.96153846153844,95.96153846153844,0.0,0.0,0.0,-108.07692307692312,-95.96153846153844,-95.96153846153844,100.0,12.115384615384684,160.0,0.8,0.0,0.0,0.0,-8493.2174556213,elastic,0,0,-8493.2174556213,0.0,0.3662956444847652
8,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,109.23076923076928,95.38461538461536,95.38461538461536,0.0,0.0,0.0,-109.23076923076928,-95.38461538461536,-95.38461538461536,100.0,13.846153846153925,160.0,0.8,0.0,0.0,0.0,-8448.284023668637,elastic,0,0,-8448.284023668637,0.0,0.36365303502659074
9,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,110.38461538461544,94.80769230769228,94.80769230769228,0.0,0.0,0.0,-110.38461538461544,-94.80769230769228,-94.80769230769228,100.0,15.576923076923165,160.0,0.8,0.0,0.0,0.0,-8397.359467455619,elastic,0,0,-8397.359467455619,0.0,0.3606704083120565
10,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,111.5384615384616,94.2307692307692,94.2307692307692,0.0,0.0,0.0,-111.5384615384616,-94.2307692307692,-94.2307692307692,100.0,17.307692307692406,160.0,0.8,0.0,0.0,0.0,-8340.443786982245,elastic,0,0,-8340.443786982245,0.0,0.3573522868584074
11,undrained_like_zero_volumetric_strain,0.0003,-0.00015,-0.00015,0.0,0.0,0.0,0.0,112.69230769230776,93.65384615384612,93.65384615384612,0.0,0.0,0.0,-112.69230769230776,-93.65384615384612,-93.65384615384612,100.0,19.038461538461647,160.0,0.8,0.0,0.0,0.0,-8277.536982248517,elastic,0,0,-8277.536982248517,0.0,0.35370366683069865
