step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
0,drained_like_triaxial_strain_control,0,0,0,0,0,0,0,100,100,100,0,0,0,-100,-100,-100,100,0,160,0.80000000000000004,0,0,0,-8640,0.375,initial,0,0,0,0
1,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,102.01923076923077,100.86538461538461,100.86538461538461,0,0,0,-102.01923076923077,-100.86538461538461,-100.86538461538461,101.25,1.1538461538461604,160,0.79946000000000006,0,0,0,-8564.4186390532523,0.36710947718759201,elastic,0,0,-8564.4186390532523,0
2,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,104.03846153846155,101.73076923076923,101.73076923076923,0,0,0,-104.03846153846155,-101.73076923076923,-101.73076923076923,102.5,2.3076923076923208,160,0.79892016200000004,0,0,0,-8481.6745562130181,0.35906852798744693,elastic,0,0,-8481.6745562130181,0
3,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,106.05769230769232,102.59615384615384,102.59615384615384,0,0,0,-106.05769230769232,-102.59615384615384,-102.59615384615384,103.75,3.4615384615384812,160,0.7983804859514001,0,0,0,-8391.7677514792904,0.35088534789317932,elastic,0,0,-8391.7677514792904,0
4,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,108.07692307692309,103.46153846153845,103.46153846153845,0,0,0,-108.07692307692309,-103.46153846153845,-103.46153846153845,105,4.6153846153846416,160,0.79784097180561464,0,0,0,-8294.6982248520708,0.34256782911637396,elastic,0,0,-8294.6982248520708,0
5,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,110.09615384615387,104.32692307692307,104.32692307692307,0,0,0,-110.09615384615387,-104.32692307692307,-104.32692307692307,106.25,5.769230769230802,160,0.79730161951407297,0,0,0,-8190.4659763313603,0.33412357024147032,elastic,0,0,-8190.4659763313603,0
6,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,112.11538461538464,105.19230769230768,105.19230769230768,0,0,0,-112.11538461538464,-105.19230769230768,-105.19230769230768,107.5,6.9230769230769624,160,0.7967624290282187,0,0,0,-8079.0710059171579,0.32555988566229166,elastic,0,0,-8079.0710059171579,0
7,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,114.13461538461542,106.05769230769229,106.05769230769229,0,0,0,-114.13461538461542,-106.05769230769229,-106.05769230769229,108.75,8.0769230769231228,160,0.79622340029951022,0,0,0,-7960.5133136094664,0.31688381479730598,elastic,0,0,-7960.5133136094664,0
8,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,116.15384615384619,106.92307692307691,106.92307692307691,0,0,0,-116.15384615384619,-106.92307692307691,-106.92307692307691,110,9.2307692307692832,160,0.79568453327942035,0,0,0,-7834.7928994082831,0.30810213108162438,elastic,0,0,-7834.7928994082831,0
9,drained_like_triaxial_strain_control,0.00029999999999999997,0,0,0,0,0,0.00029999999999999997,118.17307692307696,107.78846153846152,107.78846153846152,0,0,0,-118.17307692307696,-107.78846153846152,-107.78846153846152,111.25,10.384615384615444,160,0.79514582791943655,0,0,0,-7701.9097633136071,0.2992213507345805,elastic,0,0,-7701.9097633136071,0
