step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
0,isotropic_compression_swelling,0,0,0,0,0,0,0,100,100,100,0,0,0,-100,-100,-100,100,0,160,0.80000000000000004,0,0,0,-8640,0.375,initial,0,0,0,0
1,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,101.875,101.875,101.875,0,0,0,-101.875,-101.875,-101.875,101.875,0,160,0.79919000000000007,0,0,0,-8526.9375,0.36328125,elastic,0,0,-8526.9375,0
2,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,103.75,103.75,103.75,0,0,0,-103.75,-103.75,-103.75,103.75,0,160,0.79838036450000005,0,0,0,-8403.75,0.3515625,elastic,0,0,-8403.75,0
3,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,105.625,105.625,105.625,0,0,0,-105.625,-105.625,-105.625,105.625,0,160,0.79757109333597509,0,0,0,-8270.4375,0.33984375,elastic,0,0,-8270.4375,0
4,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,107.5,107.5,107.5,0,0,0,-107.5,-107.5,-107.5,107.5,0,160,0.79676218634397389,0,0,0,-8126.9999999999991,0.328125,elastic,0,0,-8126.9999999999991,0
5,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,109.375,109.375,109.375,0,0,0,-109.375,-109.375,-109.375,109.375,0,160,0.79595364336011909,0,0,0,-7973.4375,0.31640625,elastic,0,0,-7973.4375,0
6,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,111.25,111.25,111.25,0,0,0,-111.25,-111.25,-111.25,111.25,0,160,0.79514546422060706,0,0,0,-7809.7499999999991,0.30468749999999994,elastic,0,0,-7809.7499999999991,0
7,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,113.125,113.125,113.125,0,0,0,-113.125,-113.125,-113.125,113.125,0,160,0.79433764876170776,0,0,0,-7635.9375,0.29296875,elastic,0,0,-7635.9375,0
8,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,115,115,115,0,0,0,-115,-115,-115,115,0,160,0.793530196819765,0,0,0,-7452,0.28125,elastic,0,0,-7452,0
9,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,116.875,116.875,116.875,0,0,0,-116.875,-116.875,-116.875,116.875,0,160,0.79272310823119607,0,0,0,-7257.9374999999991,0.26953125,elastic,0,0,-7257.9374999999991,0
10,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,118.75,118.75,118.75,0,0,0,-118.75,-118.75,-118.75,118.75,0,160,0.79191638283249199,0,0,0,-7053.75,0.2578125,elastic,0,0,-7053.75,0
11,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,120.625,120.625,120.625,0,0,0,-120.625,-120.625,-120.625,120.625,0,160,0.79111002046021739,0,0,0,-6839.4375,0.24609375,elastic,0,0,-6839.4375,0
12,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,122.5,122.5,122.5,0,0,0,-122.5,-122.5,-122.5,122.5,0,160,0.79030402095101027,0,0,0,-6615,0.234375,elastic,0,0,-6615,0
13,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,124.375,124.375,124.375,0,0,0,-124.375,-124.375,-124.375,124.375,0,160,0.78949838414158235,0,0,0,-6380.4375,0.22265625,elastic,0,0,-6380.4375,0
14,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,126.25,126.25,126.25,0,0,0,-126.25,-126.25,-126.25,126.25,0,160,0.78869310986871866,0,0,0,-6135.7499999999991,0.2109375,elastic,0,0,-6135.7499999999991,0
15,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,128.125,128.125,128.125,0,0,0,-128.125,-128.125,-128.125,128.125,0,160,0.78788819796927778,0,0,0,-5880.9375,0.19921875,elastic,0,0,-5880.9375,0
16,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,130,130,130,0,0,0,-130,-130,-130,130,0,160,0.78708364828019162,0,0,0,-5616,0.1875,elastic,0,0,-5616,0
17,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,131.875,131.875,131.875,0,0,0,-131.875,-131.875,-131.875,131.875,0,160,0.78627946063846554,0,0,0,-5340.9375,0.17578125,elastic,0,0,-5340.9375,0
