path,field,max_abs_diff
isotropic,p,0.0
isotropic,q,0.0
isotropic,pc,0.0
isotropic,e,0.0
isotropic,eps_p_v,0.0
isotropic,eps_p_eq,0.0
isotropic,plastic_multiplier,0.0
isotropic,yield_f,0.0
isotropic,yield_f_normalized,0.0
isotropic,residual,0.0
isotropic,stress_xx,0.0
isotropic,stress_yy,0.0
isotropic,stress_zz,0.0
isotropic,sigmac_xx,0.0
isotropic,sigmac_yy,0.0
isotropic,sigmac_zz,0.0
isotropic,iterations,0
isotropic,yield_flag,0
drained_like,p,0.0
drained_like,q,0.0
drained_like,pc,0.0
drained_like,e,0.0
drained_like,eps_p_v,0.0
drained_like,eps_p_eq,0.0
drained_like,plastic_multiplier,0.0
drained_like,yield_f,0.0
drained_like,yield_f_normalized,0.0
drained_like,residual,0.0
drained_like,stress_xx,0.0
drained_like,stress_yy,0.0
drained_like,stress_zz,0.0
drained_like,sigmac_xx,0.0
drained_like,sigmac_yy,0.0
drained_like,sigmac_zz,0.0
drained_like,iterations,0
drained_like,yield_flag,0
undrained_like,p,0.0
undrained_like,q,0.0
undrained_like,pc,0.0
undrained_like,e,0.0
undrained_like,eps_p_v,0.0
undrained_like,eps_p_eq,0.0
undrained_like,plastic_multiplier,0.0
undrained_like,yield_f,0.0
undrained_like,yield_f_normalized,0.0
undrained_like,residual,0.0
undrained_like,stress_xx,0.0
undrained_like,stress_yy,0.0
undrained_like,stress_zz,0.0
undrained_like,sigmac_xx,0.0
undrained_like,sigmac_yy,0.0
undrained_like,sigmac_zz,0.0
undrained_like,iterations,0
undrained_like,yield_flag,0
sign_regression,p_internal,0.0
sign_regression,q_internal,0.0
sign_regression,sigmac_xx_roundtrip,0.0
sign_regression,sigmac_yy_roundtrip,0.0
sign_regression,sigmac_zz_roundtrip,0.0
