"Name","Category","RecommendedAction","Rationale","Files","Bytes","Path"
"AccInputIsolation","ARCHIVE","Archive","Intermediate experiment directory","4","44667","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\AccInputIsolation"
"AccInputSmoke","ARCHIVE","Archive","Intermediate experiment directory","3","11493","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\AccInputSmoke"
"BND1_Operator2Generalized","KEEP_CAVEATED","Keep as caveated failure evidence","Boundary mode2 failure evidence","42","1612563","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\BND1_Operator2Generalized"
"BoundaryGhostDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","1","11334","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\BoundaryGhostDiagnostics"
"DampingLadder","ARCHIVE","Archive","Intermediate experiment directory","11","126709","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DampingLadder"
"DtSafetySensitivity","ARCHIVE","Archive","Intermediate experiment directory","5","50665","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DtSafetySensitivity"
"ElasticSwitch_E1","ARCHIVE","Archive","Intermediate experiment directory","11","49179","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ElasticSwitch_E1"
"ExternalLoad_L1_Baseline","ARCHIVE","Archive","Intermediate experiment directory","22","585393","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L1_Baseline"
"ExternalLoad_L2_PaperAligned","ARCHIVE","Archive","Intermediate experiment directory","29","3715722","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L2_PaperAligned"
"ExternalLoad_L3_InitialPressureGate","ARCHIVE","Archive","Intermediate experiment directory","29","3127549","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L3_InitialPressureGate"
"ExternalLoad_L3b_MechanicalTopLoad","ARCHIVE","Archive","Intermediate experiment directory","22","1252151","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L3b_MechanicalTopLoad"
"ExternalLoad_L3c_ConsistentInitialState","KEEP_REPLAY","Keep","Current 1D validation/coupling/TINT package","35","3525862","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L3c_ConsistentInitialState"
"ExternalLoad_L4_GPU_LongRun","KEEP_REPLAY","Keep","Current 1D validation/coupling/TINT package","45","3725656","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L4_GPU_LongRun"
"ExternalLoad_L5_FeedbackOnGate","KEEP_REPLAY","Keep","Current 1D validation/coupling/TINT package","38","1890914","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ExternalLoad_L5_FeedbackOnGate"
"FeedbackOperatorDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","7","71305","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\FeedbackOperatorDiagnostics"
"GPU_G1_PorePress","ARCHIVE","Archive","Intermediate experiment directory","3","11865","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G1_PorePress"
"GPU_G2_PRDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","6","29479","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G2_PRDiagnostics"
