"Kind","Action","Path","Bytes"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DtSafetySensitivity\SW3f_dt_safety_runs\Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20_dual.log","30504"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DtSafetySensitivity\SW3f_dt_safety_runs\Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20_gencase.log","12656"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DtSafetySensitivity\SW3f_dt_safety_runs\Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20_dual.log","30496"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\DtSafetySensitivity\SW3f_dt_safety_runs\Case1DConsolidation_PR_SW3F_Safety0p20_Xi0p10_T0p20_gencase.log","12656"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S10_dual.log","31740"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S10_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S20_dual.log","31736"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S20_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S40_dual.log","31738"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p03_S40_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S10_dual.log","31742"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S10_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S20_dual.log","31738"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S20_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S40_dual.log","31736"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p05_S40_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S10_dual.log","31730"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S10_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S20_dual.log","31734"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S20_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S40_dual.log","31732"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p08_S40_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S10_dual.log","17024"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S10_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S20_dual.log","31730"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S20_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S40_dual.log","31732"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3b_sensitivity_runs\Case1DConsolidation_PR_SW3B_Xi0p10_S40_gencase.log","12054"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p05_T0p05_dual.log","28700"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p05_T0p05_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p05_T0p10_dual.log","30298"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p05_T0p10_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p10_T0p05_dual.log","28694"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p10_T0p05_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p10_T0p10_dual.log","30292"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3c_extended_runs\Case1DConsolidation_PR_SW3C_Xi0p10_T0p10_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3d_extended_runs\Case1DConsolidation_PR_SW3D_Xi0p05_T0p20_dual.log","30442"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3d_extended_runs\Case1DConsolidation_PR_SW3D_Xi0p05_T0p20_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3d_extended_runs\Case1DConsolidation_PR_SW3D_Xi0p10_T0p20_dual.log","30436"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity\SW3d_extended_runs\Case1DConsolidation_PR_SW3D_Xi0p10_T0p20_gencase.log","12082"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightLongRun\SW3g_longrun_safety020\Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0_dual.log","30800"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightLongRun\SW3g_longrun_safety020\Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0_gencase.log","12678"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S0_dual.log","25816"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S20_dual.log","26630"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S40_dual.log","26628"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p01_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S0_dual.log","25960"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S20_dual.log","26628"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S40_dual.log","26630"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p03_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S0_dual.log","25816"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S20_dual.log","26630"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S40_dual.log","26630"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S0_dual.log","25836"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S20_dual.log","26650"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S40_dual.log","26650"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0015_Xi4em5_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S0_dual.log","25952"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S20_dual.log","26766"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S40_dual.log","26764"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S0_dual.log","25952"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S20_dual.log","26764"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S40_dual.log","26766"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S0_dual.log","25952"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S20_dual.log","26766"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S40_dual.log","26766"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi0p05_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S0_dual.log","25972"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S20_dual.log","26786"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S40_dual.log","26786"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S0_dual.log","25960"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S20_dual.log","26774"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S40_dual.log","26772"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p01_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S0_dual.log","25960"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S20_dual.log","26772"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S40_dual.log","26774"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p03_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S0_dual.log","25966"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S0_gencase.log","12260"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S20_dual.log","26774"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S20_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S40_dual.log","26774"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi0p05_S40_gencase.log","12310"
"File","Deleted","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep\SW2c_sweep_runs\Case1DConsolidation_PR_SW2C_T0p0025_Xi4em5_S0_dual.log","25980"
