"Name","Extension","Length","LastWriteTime","FullName"
"a1_analytical_reconstruction_audit_report.md",".md","12659","2026/05/12 0:07:12","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\a1_analytical_reconstruction_audit_report.md"
"a2_initial_state_calibration_report.md",".md","7443","2026/05/12 0:33:30","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\a2_initial_state_calibration_report.md"
"a-coupled-u-p-sph-formulation-for-hydromechanical-modeling-of-retrogressive-landslides-and-comparison-with-a-penalty-based-approach.pdf",".pdf","7722930","2026/04/17 18:06:26","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\a-coupled-u-p-sph-formulation-for-hydromechanical-modeling-of-retrogressive-landslides-and-comparison-with-a-penalty-based-approach.pdf"
"an_sph_framework_for_drained_and_undrained_loading.md",".md","110965","2026/05/12 17:28:18","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\an_sph_framework_for_drained_and_undrained_loading.md"
"autonomous_pre_gpu_run_log.md",".md","3848","2026/05/11 1:48:43","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\autonomous_pre_gpu_run_log.md"
"autonomous_strict_smoke_run_log.md",".md","2764","2026/05/11 2:09:30","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\autonomous_strict_smoke_run_log.md"
"b1_cpu_porepressure_boundary_design.md",".md","7230","2026/05/11 19:57:52","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\b1_cpu_porepressure_boundary_design.md"
"b1_cpu_porepressure_boundary_operator_report.md",".md","6046","2026/05/11 20:30:57","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\b1_cpu_porepressure_boundary_operator_report.md"
"b5_gpu_porepressure_boundary_operator_report.md",".md","6651","2026/05/11 23:45:19","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\b5_gpu_porepressure_boundary_operator_report.md"
"blanc_pastor_2012_fractional_step_taylor_sph_implementation_notes.md",".md","5351","2026/05/06 20:04:18","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\blanc_pastor_2012_fractional_step_taylor_sph_implementation_notes.md"
"bnd1_generalized_operator2_design.md",".md","2826","2026/05/14 18:31:02","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\bnd1_generalized_operator2_design.md"
"bnd1_operator2_generalized_boundary_report.md",".md","3783","2026/05/14 18:34:05","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\bnd1_operator2_generalized_boundary_report.md"
"bnd1_porepressure_boundary_operator2_source_audit.md",".md","3693","2026/05/14 18:30:31","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\bnd1_porepressure_boundary_operator2_source_audit.md"
"bnd1_upw_boundary_condition_literature_audit.md",".md","2563","2026/05/14 18:30:46","D:\MYF\SPH\GeoDualSPHysics_v5.2\src\papers\u-p\bnd1_upw_boundary_condition_literature_audit.md"
